L,U,V,t,β,δ,m,uS,ud,vpx,Qm,QuS,Qud,Qvpx,I,f,g,g0,ΔT,μ
30,5.0,1.0,1.0,100.0,0.1,0.10305521663989012,-0.7720466568105073,0.001643788381794258,-7.525246276617888e-18,0.7379716585891011,0.9621772449369459,0.5523039649991004,0.07555786372591515,26,-3.2509979641076425,0.2,0.2,0.472988665,0.7688370380357417
30,5.0,1.2,1.0,100.0,0.1,0.08145101778693337,-0.7793924697635498,0.0013621962597677852,-9.445250762095443e-18,0.9809649512398461,0.4856990452203114,0.37911249660426055,0.019807040628567054,32,-3.487022663918024,0.2,0.2,0.582925589,0.7279604746639563
30,5.0,1.4,1.0,100.0,0.1,0.0570785116952786,-0.7854169021084539,0.0008049487512122481,-5.6378603887917574e-18,0.9880680939984565,0.2416751106673498,0.21208086564442444,0.0026584559915697977,41,-3.730112192390443,0.2,0.2,0.750318225,0.6923206771261301
30,5.0,1.6,1.0,100.0,0.1,0.03941481562457121,-0.7883894232306079,0.0009308424778572803,-2.3800458200297464e-18,0.9899284628166818,0.16446900124398312,0.2482967094666805,0.0010889035741467724,45,-3.986833032446316,0.2,0.2,0.831466766,0.6883465406668045
30,5.0,1.8,1.0,100.0,0.1,0.028690139574279874,-0.7896438496364708,0.0024732888012249502,-2.635377774331602e-18,0.99121775428491,0.13098501452091238,0.5834461142575208,0.00108890357414734,45,-4.251688394365135,0.2,0.2,0.811337161,0.7054079973157072
30,5.0,2.0,1.0,100.0,0.1,0.016674364560836215,-0.7905452682179384,0.007589599496026451,-1.8559659987521115e-19,0.7381107953546677,0.0679561868037748,0.9649798758324218,0.000285449538541355,51,-4.520676364892947,0.2,0.2,0.920138556,0.729751732946497
30,5.5,1.0,1.0,100.0,0.1,0.1373040601858412,-0.7560784654121376,0.0016454036685076782,-4.103958780794849e-18,0.08108737306473657,0.8783905311761764,0.5954456475462873,0.09444732965739344,25,-3.321444529951126,0.2,0.2,0.457092229,0.936628274868263
30,5.5,1.2,1.0,100.0,0.1,0.1196884559816445,-0.7649968018967879,0.0025615396844973705,-5.87930324663847e-18,0.5424097947441059,0.9273676769776085,0.7264536058717778,0.07555786372591536,26,-3.5480262418016455,0.2,0.2,0.482163322,0.8905636160311343
30,5.5,1.4,1.0,100.0,0.1,0.10267743176738345,-0.7721916799443524,0.003922859810006972,-9.564652981299631e-19,0.9376466745546513,0.9213003772227113,0.9172427869242543,0.0604462909807317,27,-3.7845930046579834,0.2,0.2,0.488045715,0.8535384964726319
30,5.5,1.6,1.0,100.0,0.1,0.07886408573579612,-0.7801447337997749,0.0025256469894851643,-5.151093986204798e-18,0.9913153563826188,0.37889121272782766,0.5392624655398333,0.00811296384146099,36,-4.020370146896702,0.2,0.2,1.272917397,0.7964090488532305
