L,U,V,t,β,δ,m,uS,ud,vpx,vpy,Qm,QuS,Qud,Qvpx,Qvpy,I,f,g,g0,ΔT,μ
30,3.5,1.0,1.0,100.0,0.1,0.013937221081992883,-0.7907140408198245,0.0005182853195124937,-2.0190876956582847e-18,-2.2297135566777738e-18,0.998379683166382,0.1596511356304564,0.1899110560384161,0.010141204801825857,0.010141204801825654,35,-3.169569071932026,0.2,0.2,0.600896424,0.5612458696514868
30,3.5,1.2,1.0,100.0,0.1,0.01106963652495521,-0.7908393164920932,0.0011219045574951644,-9.288568102202166e-19,-1.8620404249688274e-18,0.9613833412073624,0.17241491189989855,0.3631696336153892,0.012676506002282288,0.012676506002282087,34,-3.438437925710088,0.2,0.2,0.603872035,0.5917754115670886
30,3.5,1.4,1.0,100.0,0.1,0.00975311892072313,-0.7908814266719546,0.003006977626212169,-5.13835878634974e-19,-1.7813039390789496e-18,0.9958591473124712,0.241013829347958,0.7984107267770726,0.019807040628566194,0.01980704062856577,32,-3.708309338882479,0.2,0.2,0.557182045,0.6242687438612177
30,3.5,1.6,1.0,100.0,0.1,0.0056581266392408585,-0.7909829880847411,0.004386915449559329,-9.687413983462704e-20,-1.4244331193817083e-18,0.664281898775528,0.10750728301542889,0.9352762753708155,0.00811296384146072,0.0081129638414605,36,-3.9782508583529026,0.2,0.2,0.638139807,0.656331542406519
30,3.5,1.8,1.0,100.0,0.1,0.002261895673004004,-0.791021248458369,0.005804948339551429,6.569843460253233e-21,-7.190561470530449e-19,0.3003174283139984,0.028795755105104348,0.9672903105383046,0.0013611294676837856,0.0013611294676837142,44,-4.248505288312714,0.2,0.2,0.774883831,0.6892414706605958
30,3.5,2.0,1.0,100.0,0.1,0.0064329436841362225,-0.7901452277384198,0.047461927904743816,1.4391443837586957e-18,6.583302547795699e-19,0.958563863648672,0.4269755273095255,0.8073725719232289,0.038685626227668385,0.03868562622766828,29,-4.537828055257088,0.2,0.2,0.50491823,0.7513952824843881
30,4.0,1.0,1.0,100.0,0.1,0.025501817261476118,-0.7899341665956915,0.00022332373807019723,-3.7974272926839775e-18,-3.137555816555911e-18,0.985940722547856,0.12864711349767077,0.08078983367130181,0.0026584559915698264,0.002658455991569535,41,-3.1729208699131886,0.2,0.2,0.721141954,0.5703005761893022
30,4.0,1.2,1.0,100.0,0.1,0.01874429397781804,-0.7904498006447805,0.0004819256972026488,-2.815459467124558e-18,-2.872691622728093e-18,0.965994842124699,0.1108500225725173,0.15661911428968134,0.0033230699894623733,0.0033230699894620137,40,-3.439972355884395,0.2,0.2,0.705450623,0.5964409805949608
30,4.0,1.4,1.0,100.0,0.1,0.014968044133642366,-0.7906692879197038,0.0012233853570117787,-1.109718462976331e-18,-2.5533576575737473e-18,0.9689151978979685,0.11812007193436891,0.36431342449481574,0.00519229685853479,0.0051922968585345316,38,-3.7085116621695597,0.2,0.2,0.670798991,0.6259776186757685
30,4.0,1.6,1.0,100.0,0.1,0.012530963608260497,-0.7907734141100727,0.003833370711891033,-1.119797248477138e-18,-3.906845207760216e-18,0.9775446146046404,0.14443266569328372,0.8590390923767625,0.008112963841460886,0.00811296384146051,36,-3.9786758259289097,0.2,0.2,0.636677674,0.6586025191478767
30,4.0,1.8,1.0,100.0,0.1,0.006105166068626989,-0.7909682199407628,0.005548608605995195,-2.4477087356265884e-19,-1.9987456808514044e-18,0.5570648121883326,0.045389842671372804,0.9468979241926714,0.0017014118346047795,0.0017014118346046412,43,-4.248527911268752,0.2,0.2,0.756460826,0.6897326797146378
