L,U,V,t,β,δ,m,uS,vS,Qm,QuS,QvS,Converged,I,f,g,g0,ΔT,μ
128,1.0,1.4,1.0,100.0,0.0,0.1109916261677469,0.40189168950051724,-8.597056475048378e-11,0.926237078138048,0.06599245531058173,6.111709149746273e-7,true,18,-1.393762484658688,0.5,0.5,0.298144898,0.0
128,1.0,1.5,1.0,100.0,0.0,0.11628630563804623,0.4014688223314957,-9.270729803318442e-12,0.8903412255685805,0.07088642582198101,6.15771078553877e-8,true,19,-1.3776321911503986,0.5,0.5,0.196230622,0.0
128,1.0,1.6,1.0,100.0,0.0,0.12185329505566919,0.40098941280852873,-7.488107963981434e-13,0.8265841076161295,0.07220436789090456,4.6683849094015755e-9,true,20,-1.3615380262387178,0.5,0.5,0.212791964,0.0
128,1.0,1.7,1.0,100.0,0.0,0.12755128897205767,0.4004603689963343,-1.7586086706843074e-13,0.9297360583485625,0.08769719227896822,1.0332479440796925e-9,true,20,-1.3454845110781088,0.5,0.5,0.182814264,0.0
128,1.0,1.8,1.0,100.0,0.0,0.1336773939071993,0.3998465781002468,-7.132755210752918e-15,0.8180346236017488,0.0839835203215733,3.964012441076961e-11,true,21,-1.3294769627641516,0.5,0.5,0.225983115,0.0
128,1.0,1.9,1.0,100.0,0.0,0.13994408821575016,0.399168493605515,-8.659679308692062e-16,0.8842178185811678,0.09803592657309235,4.5670074517715e-12,true,21,-1.3135210227508207,0.5,0.5,0.199508496,0.0
128,1.0,2.0,1.0,100.0,0.0,0.14649495309969057,0.3984030961906829,-6.831845424090213e-17,0.9409574167221768,0.11272778214110879,3.429421317262684e-13,true,21,-1.2976232327667698,0.5,0.5,0.198535837,0.0
128,1.0,2.1,1.0,100.0,0.0,0.15333125613208537,0.39754004085155425,-2.942725220515854e-18,0.9862386734567075,0.12773219788586587,1.4098743370490779e-14,true,21,-1.281790797266147,0.5,0.5,0.198953175,0.0
128,1.0,2.2,1.0,100.0,0.0,0.1605917020088563,0.39654830213267545,-5.755435523025608e-21,0.7903007925796346,0.11123845356886264,2.6387171352545086e-17,true,22,-1.2660317647816692,0.5,0.5,0.208032023,0.0
128,1.0,2.3,1.0,100.0,0.0,0.1679881789113581,0.3954547215725706,-1.5677982107358585e-23,0.7964144407529572,0.12127364829694898,6.89438082933424e-20,true,22,-1.2503547919106266,0.5,0.5,0.584101627,0.0
128,1.0,2.4,1.0,100.0,0.0,0.17564930742813806,0.39422920015804797,-1.4881735868579541e-27,0.7884296420573866,0.12991568040598978,6.291000193165663e-24,true,22,-1.23476956727303,0.5,0.5,0.570023968,0.0
128,1.0,2.5,1.0,100.0,0.0,0.18355967099757464,0.39285988551249573,-6.996871437995843e-37,0.7656062077335268,0.1365255193908066,2.8493718656673883e-33,true,22,-1.2192865397886994,0.5,0.5,1.144606583,0.0
128,1.0,2.6,1.0,100.0,0.0,0.1915781851489074,0.3913587230756739,-1.2855590077454038e-33,0.9744425531806877,0.18721532628140913,5.0530173364951726e-30,true,21,-1.203916908945933,0.5,0.5,0.599155108,0.0
128,1.0,2.7,1.0,100.0,0.0,0.1999306455517343,0.38966774015336814,2.4639124414861786e-26,0.9164022280945261,0.19048135928900756,9.366367673203001e-23,true,21,-1.1886727527864407,0.5,0.5,0.294726246,0.0
128,1.0,2.8,1.0,100.0,0.0,0.20845543007788114,0.38780089844729826,-1.5215555807308498e-22,0.8408142630205728,0.18897393153083364,5.604327643327326e-19,true,21,-1.1735666257283504,0.5,0.5,0.229221169,0.0
128,1.0,2.9,1.0,100.0,0.0,0.21711527934815916,0.38575080228266734,-1.5106302399824008e-19,0.7505030981108107,0.18223050203070024,5.400773302302732e-16,true,21,-1.1586116275612754,0.5,0.5,0.224847134,0.0
128,1.0,3.0,1.0,100.0,0.0,0.22577501794155447,0.3835373593425241,7.161535636879012e-17,0.9241865248608705,0.24085108940630207,2.489194099685943e-13,true,20,-1.1438211467292951,0.5,0.5,0.194376095,0.0
128,1.0,3.1,1.0,100.0,0.0,0.23459725777638257,0.3811049990186146,-1.1174309792697577e-15,0.789118063596439,0.2215823621338764,3.782681480380901e-12,true,20,-1.1292087506844777,0.5,0.5,0.222751858,0.0
128,1.0,3.2,1.0,100.0,0.0,0.2433383382432474,0.3785084639484394,6.429651501733398e-13,0.9655453710306627,0.289439075853104,2.1228596319771036e-9,true,19,-1.1147877564212443,0.5,0.5,0.183766505,0.0
128,1.0,3.3,1.0,100.0,0.0,0.2521423083957982,0.37569475287002996,1.7761110298869693e-11,0.7861958958551574,0.25272848314605856,5.729153692243829e-8,true,19,-1.1005711803943143,0.5,0.5,0.183044199,0.0
128,1.0,3.4,1.0,100.0,0.0,0.2607885716277225,0.37272632600374866,-7.689956061737909e-10,0.9638247506158493,0.3278571240596939,2.4265755578764385e-6,true,18,-1.0865713133573507,0.5,0.5,0.176058605,0.0
128,1.0,3.5,1.0,100.0,0.0,0.26939311866187365,0.36955860493146203,-7.371984079961094e-9,0.7497205534552354,0.2712253842690471,2.2792393631748637e-5,true,18,-1.0727996209106359,0.5,0.5,0.174276853,0.0
128,1.0,3.6,1.0,100.0,0.0,0.2777777923855188,0.3662547959414483,1.1438893083821419e-7,0.9351095156669986,0.3528675810293702,0.00034691272115778963,true,17,-1.059266433560733,0.5,0.5,0.157447179,0.0
128,1.0,3.7,1.0,100.0,0.0,0.2860264097589599,0.3627832318069081,5.867254387283551e-7,0.7027919460581566,0.27795979627132095,0.001747971322589476,true,17,-1.045980850447908,0.5,0.5,0.459137065,0.0
128,1.0,3.8,1.0,100.0,0.0,0.2940129154378265,0.3592004772505616,-4.173382814350209e-6,0.913413715125655,0.36842804498005144,0.012225754775617192,true,16,-1.0329505764994025,0.5,0.5,0.402149627,0.0
128,1.0,3.9,1.0,100.0,0.0,0.3017910419136306,0.3554894208187013,-1.1935710091985642e-5,0.6802678950792451,0.2806157692598621,0.034426916457439456,true,16,-1.0201818800349665,0.5,0.5,1.035337869,0.0
128,1.0,4.0,1.0,100.0,0.0,0.3092846394647436,0.35169504629466253,3.0724579337257806e-5,0.9477319709401133,0.38666651080032644,0.08732764221432188,true,15,-1.0076795674406387,0.5,0.5,0.239412963,0.0
128,1.5,0.0,1.0,100.0,0.0,0.1254680288651434,0.40065840296757194,0.0,0.8762519041057848,0.06308988530501214,0.006103515625,true,16,-1.626247127714711,0.5,0.5,0.156211601,0.0
128,1.5,0.1,1.0,100.0,0.0,0.12951855102264742,0.40026844430483044,-2.240384536951987e-8,0.8501744441222758,0.07416559569173309,0.0022388778479469117,true,17,-1.6102150418065386,0.5,0.5,0.511401746,0.0
