L,U,V,t,β,δ,m,uS,ud,vd,Qm,QuS,Qud,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,1.6,1.0,100.0,0.0,0.0,0.40314324448204936,3.469446951953614e-18,NaN,3.155443620884047e-28,1.1102230246251565e-13,2.311115933264683e-29,329.1384343977781,false,100,NaN,0.5,0.5,2.091948521,0.0
128,0.0,1.7,1.0,100.0,0.0,0.0,0.4025426416554374,-3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,6.162975822039155e-30,359.3070047247395,false,100,NaN,0.5,0.5,1.379623814,0.0
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40184021017822225,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,4.625929269271487e-15,388.99768972306026,false,100,NaN,0.5,0.5,1.874463563,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.4010295167376938,-3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,5.9476233462061916e-15,418.138745435038,false,100,NaN,0.5,0.5,2.033791556,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40010456933203065,3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,4.625929269271485e-15,446.671302098771,false,100,NaN,0.5,0.5,1.24795176,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.3990598352962835,0.0,NaN,3.155443620884047e-28,0.0,1.4468854908069065e-29,474.54761436644657,false,100,NaN,0.5,0.5,1.164822128,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,0.39789027357313,6.938893903907228e-18,NaN,3.155443620884047e-28,0.0,4.6259292692714845e-15,501.729004889182,false,100,NaN,0.5,0.5,2.694310976,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.39659137806183714,-6.938893903907228e-18,NaN,3.155443620884047e-28,1.1102230246251565e-13,2.3129646346357442e-14,528.1840687125379,false,100,NaN,0.5,0.5,1.181571104,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.39515923020463806,-3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,3.9650822308041346e-15,553.8872404210969,false,100,NaN,0.5,0.5,1.925649763,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.39359055893236305,6.938893903907228e-18,NaN,3.155443620884047e-28,0.0,3.0531133177191805e-14,578.817702510203,false,100,NaN,0.5,0.5,1.536631787,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,0.39188280562839906,0.0,NaN,3.155443620884047e-28,0.0,9.25185853854296e-15,602.9585849550274,false,100,NaN,0.5,0.5,1.496919281,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,0.3900341912055929,0.0,NaN,3.155443620884047e-28,0.0,1.8503717077086062e-15,626.2964037704412,false,100,NaN,0.5,0.5,2.109732318,0.0
