L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.0,1.8,1.0,100.0,0.0,0.0,0.40184021017822225,3.469446951953614e-18,6.505213034913027e-19,NaN,3.155443620884047e-28,0.0,4.625929269271488e-15,1.7347234759768124e-15,388.99768972306026,false,100,NaN,0.5,0.5,1.623634794,0.0
128,0.0,1.9,1.0,100.0,0.0,0.0,0.4010295167376938,-3.469446951953614e-18,-4.336808689942018e-19,NaN,3.155443620884047e-28,0.0,5.9476233462061916e-15,1.156482317317873e-15,418.138745435038,false,100,NaN,0.5,0.5,1.622681468,0.0
128,0.0,2.0,1.0,100.0,0.0,0.0,0.40010456933203065,3.469446951953614e-18,-1.3010426069826053e-18,NaN,3.155443620884047e-28,0.0,4.625929269271485e-15,4.047688110612551e-15,446.671302098771,false,100,NaN,0.5,0.5,1.638507407,0.0
128,0.0,2.1,1.0,100.0,0.0,0.0,0.3990598352962835,0.0,-8.673617379884035e-19,NaN,3.155443620884047e-28,0.0,1.4952876876630833e-29,1.7347234759768097e-15,474.54761436644657,false,100,NaN,0.5,0.5,1.621384924,0.0
128,0.0,2.2,1.0,100.0,0.0,0.0,0.39789027357313,1.0408340855860843e-17,4.336808689942018e-19,NaN,3.155443620884047e-28,0.0,4.625929269271494e-15,1.734723475976822e-15,501.729004889182,false,100,NaN,0.5,0.5,1.62934257,0.0
128,0.0,2.3,1.0,100.0,0.0,0.0,0.39659137806183714,-6.938893903907228e-18,0.0,NaN,3.155443620884047e-28,1.1102230246251565e-13,2.3129646346357445e-14,4.735958528009488e-31,528.1840687125379,false,100,NaN,0.5,0.5,1.625845584,0.0
128,0.0,2.4,1.0,100.0,0.0,0.0,0.39515923020463806,-3.469446951953614e-18,3.0357660829594124e-18,NaN,3.155443620884047e-28,0.0,3.96508223080413e-15,8.095376221225099e-15,553.8872404210969,false,100,NaN,0.5,0.5,1.623932406,0.0
128,0.0,2.5,1.0,100.0,0.0,0.0,0.39359055893236305,6.938893903907228e-18,-8.673617379884035e-19,NaN,3.155443620884047e-28,0.0,3.0531133177191805e-14,2.5730672510581468e-15,578.817702510203,false,100,NaN,0.5,0.5,1.628367044,0.0
128,0.0,2.6,1.0,100.0,0.0,0.0,0.39188280562839906,0.0,1.734723475976807e-18,NaN,3.155443620884047e-28,0.0,9.251858538542972e-15,6.707597440443655e-15,602.9585849550274,false,100,NaN,0.5,0.5,1.621605405,0.0
128,0.0,2.7,1.0,100.0,0.0,0.0,0.3900341912055929,0.0,1.734723475976807e-18,NaN,3.155443620884047e-28,0.0,9.251858538542968e-16,5.551115123125783e-15,626.2964037704411,false,100,NaN,0.5,0.5,1.62529163,0.0
128,0.0,2.8,1.0,100.0,0.0,0.0,0.38804378185530664,0.0,-3.469446951953614e-18,NaN,3.155443620884047e-28,0.0,2.932257844736834e-29,1.0408340855860836e-14,648.8206909196948,false,100,NaN,0.5,0.5,1.640578299,0.0
