L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,0.0,4.1,1.0,100.0,0.0,0.0,0.40456421824996336,0.1953125,0.5417285604047972,true,11,-0.9482849041224252,0.5,0.5,0.095033013,0.0,5
128,0.0,4.15,1.0,100.0,0.0,0.0,0.404482170267202,0.1953125,0.5324873457088763,true,11,-0.9401030907552498,0.5,0.5,0.095069554,0.0,5
128,0.0,4.2,1.0,100.0,0.0,0.0,0.40438510381805576,0.1953125,0.5211480822673309,true,11,-0.9319249204225913,0.5,0.5,0.095539857,0.0,5
128,0.0,4.25,1.0,100.0,0.0,0.0,0.4042691785430127,0.1953125,0.5071148295567873,true,11,-0.9237510802408718,0.5,0.5,0.093879351,0.0,5
128,0.0,4.3,1.0,100.0,0.0,0.0,0.40412928982825413,0.1953125,0.48959931737446727,true,11,-0.9155824374494387,0.5,0.5,0.097345503,0.0,5
128,0.0,4.35,1.0,100.0,0.0,0.0,0.40396884147659284,0.390625,0.9762100692838338,true,10,-0.9074201008975004,0.5,0.5,0.085903773,0.0,5
128,0.0,4.4,1.0,100.0,0.0,0.0,0.4037600918775883,0.390625,0.928975469330684,true,10,-0.8992654998609514,0.5,0.5,0.083897138,0.0,5
128,0.0,4.45,1.0,100.0,0.0,0.0,0.40349876273131036,0.390625,0.8683358504979477,true,10,-0.8911205073836849,0.5,0.5,0.086091097,0.0,5
128,0.0,4.5,1.0,100.0,0.0,0.0,0.4031670816771985,0.390625,0.7901797771637797,true,10,-0.8829875986527825,0.5,0.5,0.089551848,0.0,5
128,0.0,4.55,1.0,100.0,0.0,0.0,0.402740371925136,0.390625,0.6897683537746557,true,10,-0.8748700740136214,0.5,0.5,0.089144705,0.0,5
128,0.0,4.6,1.0,100.0,0.0,0.0,0.40218485906411716,0.390625,0.5629616263571613,true,10,-0.8667723507146089,0.5,0.5,0.088952226,0.0,5
128,0.0,4.65,1.0,100.0,0.0,0.0,0.4014562142809144,0.390625,0.4098054332103418,true,10,-0.8587003151492603,0.5,0.5,0.083974016,0.0,5
128,0.0,4.7,1.0,100.0,0.0,0.0,0.4005612772168897,0.78125,0.7235759569783617,true,9,-0.850661722700079,0.5,0.5,0.082108429,0.0,5
128,0.0,4.75,1.0,100.0,0.0,0.0,0.39931240523907374,0.78125,0.36174769271313245,true,9,-0.8426662045267432,0.5,0.5,0.077199011,0.0,5
128,0.0,4.8,1.0,100.0,0.0,0.0,0.39773995071413937,0.78125,0.08494643227652254,true,9,-0.8347254398810954,0.5,0.5,0.07961556,0.0,5
128,0.0,4.85,1.0,100.0,0.0,0.0,0.39585916208378846,0.78125,9.688324875689602e-5,true,9,-0.8268521784884145,0.5,0.5,0.077705814,0.0,5
128,0.0,4.9,1.0,100.0,0.0,0.0,0.39367032061214835,0.78125,0.024157316829587216,true,9,-0.8190590687913595,0.5,0.5,0.082536326,0.0,5
128,0.0,4.95,1.0,100.0,0.0,0.0,0.3912791532931287,0.78125,0.18650256926977526,true,9,-0.8113575104505701,0.5,0.5,0.076529598,0.0,5
128,0.0,5.0,1.0,100.0,0.0,0.0,0.388187167682568,0.0244140625,0.9770552470144134,true,14,-0.803758663628389,0.5,0.5,0.128074629,0.0,5
128,0.0,5.05,1.0,100.0,0.0,0.0,0.3858224074903156,0.0,0.3461839084519802,true,3,-0.7962635889197781,0.25,0.5,0.767634793,0.0,5
128,0.0,5.1,1.0,100.0,0.0,0.0,0.382871562403989,0.0,0.361300834074596,true,6,-0.7888826014649291,0.25,0.5,0.056666056,0.0,5
128,0.0,5.15,1.0,100.0,0.0,0.0,0.3798323135800994,9.094947017729282e-11,0.3516365977809244,true,42,-0.7816165736764334,0.5,0.5,0.36316962,0.0,5
128,0.0,5.2,1.0,100.0,0.0,0.0,0.37680714079721045,8.271806125530277e-23,0.48705967993023513,true,82,-0.7744677884182566,0.5,0.5,0.719046511,0.0,5
128,0.0,5.25,1.0,100.0,0.0,0.0,0.37349343832328696,0.0,0.013214341594847134,true,5,-0.7674332280317987,0.125,0.25,0.860436207,0.0,5
128,0.0,5.3,1.0,100.0,0.0,0.0,0.3700892605935596,0.0,0.6294480716594331,true,9,-0.7605203864993082,0.125,0.25,0.08513162,0.0,5
128,0.0,5.35,1.0,100.0,0.0,0.0,0.367529537704103,0.0,0.5989148483307449,true,13,-0.7537196651564608,0.125,0.25,0.099229725,0.0,5
128,0.0,5.4,1.0,100.0,0.0,0.0,0.36459676607231684,0.0,0.9487828807298593,true,13,-0.7470408536688121,0.125,0.25,0.099146192,0.0,5
128,0.0,5.45,1.0,100.0,0.0,0.0,0.360718949581782,0.0,0.8018938531223485,true,17,-0.7404627505968286,0.125,0.25,0.126093479,0.0,5
128,0.0,5.5,1.0,100.0,0.0,0.0,0.35847377611180486,0.0,0.9243622683003938,true,15,-0.7340046841181368,0.125,0.25,0.111963499,0.0,5
128,0.0,5.55,1.0,100.0,0.0,0.0,0.35513439091637033,0.0,0.22497562261303283,true,6,-0.7276341626785807,0.0625,0.125,0.788450081,0.0,5
128,0.0,5.6,1.0,100.0,0.0,0.0,0.3519074379342304,0.0,0.2987406644945345,true,11,-0.7213856505226802,0.0625,0.125,0.086060648,0.0,5
128,0.0,5.65,1.0,100.0,0.0,0.0,0.34880806588970314,0.0,0.6235701398715765,true,12,-0.7152476022150911,0.0625,0.125,0.082355374,0.0,5
128,0.0,5.7,1.0,100.0,0.0,0.0,0.3466260525883863,0.0,0.9046650841429971,true,12,-0.7092188239372923,0.0625,0.125,0.082450693,0.0,5
128,0.0,5.75,1.0,100.0,0.0,0.0,0.34295264556886884,0.0,0.7831182985524876,true,12,-0.7032695208100875,0.0625,0.125,0.085192037,0.0,5
128,0.0,5.8,1.0,100.0,0.0,0.0,0.3400300243649115,0.0,0.9725979023172959,true,11,-0.6974353797177093,0.0625,0.125,0.078604602,0.0,5
128,0.0,5.85,1.0,100.0,0.0,0.0,0.3380814956554882,0.0,0.7858053595529713,true,12,-0.691680738038486,0.0625,0.125,0.081655559,0.0,5
128,0.0,5.9,1.0,100.0,0.0,0.0,0.3345609706671515,0.0,0.8113830020860524,true,16,-0.6860253057702734,0.0625,0.125,0.111991702,0.0,5
128,0.0,5.95,1.0,100.0,0.0,0.0,0.33256413977153265,0.0,0.675882764174407,true,27,-0.6804574961496695,0.125,0.25,0.203467147,0.0,5
128,0.0,6.0,1.0,100.0,0.0,0.0,0.32988486376206116,0.0,0.6652070030057633,true,48,-0.6749835411797387,0.25,0.5,0.344011766,0.0,5
128,0.05,0.0,1.0,100.0,0.0,1.4552973562506236e-5,0.405230593061267,0.3672831938189729,0.5961806827660121,true,11,-1.6212287122596374,0.5,0.5,0.093900291,0.0,5
128,0.05,0.05,1.0,100.0,0.0,1.470571101876328e-5,0.40523026230595094,0.3685042614756562,0.5961758833624708,true,11,-1.6130181272487214,0.5,0.5,0.09598031,0.0,5
128,0.05,0.1,1.0,100.0,0.0,1.486216649022585e-5,0.4052299198308617,0.36974923138142,0.5961707771603431,true,11,-1.6048075558870347,0.5,0.5,0.097216344,0.0,5
128,0.05,0.15,1.0,100.0,0.0,1.50224735401457e-5,0.40522956508845454,0.37101882722456964,0.5961653441051151,true,11,-1.596596998661215,0.5,0.5,0.094473034,0.0,5
128,0.05,0.2,1.0,100.0,0.0,1.5186772060941759e-5,0.4052291974995068,0.372313802346254,0.5961595626746696,true,11,-1.588386456080775,0.5,0.5,0.090606346,0.0,5
128,0.05,0.25,1.0,100.0,0.0,1.5355208646609868e-5,0.40522881645095443,0.37363494127346514,0.5961534097576049,true,11,-1.5801759286794312,0.5,0.5,0.091352161,0.0,5
128,0.05,0.3,1.0,100.0,0.0,1.552793699131985e-5,0.40522842129356107,0.37498306134790893,0.5961468605243381,true,11,-1.5719654170165276,0.5,0.5,0.094156305,0.0,5
128,0.05,0.35,1.0,100.0,0.0,1.570511831637063e-5,0.4052280113394028,0.3763590144576914,0.596139888281555,true,11,-1.5637549216785567,0.5,0.5,0.0950458,0.0,5
128,0.05,0.4,1.0,100.0,0.0,1.588692182784922e-5,0.4052275858591552,0.37776368887953976,0.596132464318444,true,11,-1.5555444432807848,0.5,0.5,0.094351828,0.0,5
128,0.05,0.45,1.0,100.0,0.0,1.607352520755966e-5,0.40522714407916405,0.37919801123979596,0.5961245577359442,true,11,-1.5473339824689962,0.5,0.5,0.095536385,0.0,5
128,0.05,0.5,1.0,100.0,0.0,1.6265115140050927e-5,0.4052266851782793,0.38066294860321537,0.5961161352592281,true,11,-1.5391235399213552,0.5,0.5,0.091202741,0.0,5
128,0.05,0.55,1.0,100.0,0.0,1.6461887878844635e-5,0.40522620828443434,0.3821595106993576,0.5961071610361968,true,11,-1.5309131163504104,0.5,0.5,0.093099595,0.0,5
128,0.05,0.6,1.0,100.0,0.0,1.6664049855244883e-5,0.405225712470944,0.3836887522972374,0.5960975964144355,true,11,-1.5227027125052357,0.5,0.5,0.095041627,0.0,5
128,0.05,0.65,1.0,100.0,0.0,1.687181833349178e-5,0.4052251967524976,0.385251775739831,0.5960873996960769,true,11,-1.5144923291737316,0.5,0.5,0.093540439,0.0,5
128,0.05,0.7,1.0,100.0,0.0,1.7085422116344174e-5,0.4052246600808196,0.38684973365115355,0.5960765258729017,true,11,-1.506281967185098,0.5,0.5,0.094789798,0.0,5
128,0.05,0.75,1.0,100.0,0.0,1.7305102305645917e-5,0.4052241013399651,0.38848383182966467,0.5960649263313522,true,11,-1.4980716274124868,0.5,0.5,0.092697572,0.0,5
128,0.05,0.8,1.0,100.0,0.0,1.7531113122867944e-5,0.40522351934121836,0.390155332343169,0.5960525485331214,true,11,-1.4898613107758572,0.5,0.5,0.09242024,0.0,5
128,0.05,0.85,1.0,100.0,0.0,1.776372279514361e-5,0.40522291281755485,0.39186555684167,0.5960393356624349,true,11,-1.4816510182450457,0.5,0.5,0.091640134,0.0,5
128,0.05,0.9,1.0,100.0,0.0,1.800321451289121e-5,0.4052222804176264,0.39361589010633646,0.5960252262371402,true,11,-1.473440750843072,0.5,0.5,0.095234855,0.0,5
128,0.05,0.95,1.0,100.0,0.0,1.824988746580714e-5,0.40522162069922385,0.3954077838543104,0.5960101536847118,true,11,-1.4652305096496994,0.5,0.5,0.094718936,0.0,5
128,0.05,1.0,1.0,100.0,0.0,1.8504057964680986e-5,0.40522093212216537,0.3972427608211666,0.5959940458722945,true,11,-1.4570202958052723,0.5,0.5,0.093373822,0.0,5
128,0.05,1.05,1.0,100.0,0.0,1.8766060657359645e-5,0.4052202130405551,0.39912241914487884,0.5959768245904495,true,11,-1.4488101105148583,0.5,0.5,0.091331241,0.0,5
