L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,0.0,0.8,1.0,100.0,0.15,0.3810768739618325,0.04535328358753864,0.021930853918328275,0.9725234332905591,true,61,-1.8099478131746003,0.2,0.2,214.520059118,0.6155944694472049
256,0.0,1.2,1.0,100.0,0.15,0.3756102741656442,0.1383378933219685,0.0927509402829374,0.9977944776818903,true,49,-1.7506070694142464,0.2,0.2,173.941570279,0.6069129505227122
256,0.0,1.6,1.0,100.0,0.15,0.36465750952951415,0.20582289501939433,0.20083422447503274,0.9972606257220851,true,46,-1.720056592584244,0.2,0.2,161.344591799,0.6252333601177988
256,0.0,2.0,1.0,100.0,0.15,0.3512395999167097,0.2503383747307862,0.26608758071011707,0.8602669042911959,true,43,-1.7019910336088526,0.2,0.2,154.792899097,0.6437378557302603
256,0.0,2.4,1.0,100.0,0.15,0.3366705220206915,0.2814446993544151,0.3465556442194817,0.8634981504218597,true,40,-1.692743344683758,0.2,0.2,140.252636869,0.6584385241405172
256,0.0,2.8,1.0,100.0,0.15,0.321630543713625,0.3041449492356744,0.39413976640434445,0.8321271731259738,true,38,-1.6914297524671587,0.2,0.2,134.457065185,0.6700665101506196
256,0.0,3.2,1.0,100.0,0.15,0.30658680039547825,0.32117332218385536,0.45318087745160884,0.8864295990146376,true,36,-1.6974034072935211,0.2,0.2,138.484824898,0.6796189442543302
256,0.0,3.6,1.0,100.0,0.15,0.2918473877674108,0.3342184412382909,0.43860424545183463,0.8359541929618963,true,35,-1.71017595281501,0.2,0.2,126.155207453,0.6881339208138659
256,0.0,4.0,1.0,100.0,0.15,0.2776371114897011,0.34436814484113176,0.42562494055597977,0.8375713533578244,true,34,-1.7290707064964006,0.2,0.2,120.409850915,0.6961419838004649
256,5.0,0.0,1.0,100.0,0.15,0.3815042294856449,0.0,0.8712133922709198,0.3094850098213456,true,30,-1.994949592449198,0.2,0.2,103.569958524,0.7212731029735917
256,5.0,0.4,1.0,100.0,0.15,0.38150200711703475,0.000615076000569745,0.013021295513948594,0.9220423671517027,true,49,-1.900948382492321,0.2,0.2,169.582416677,0.6662219169457199
256,5.0,0.8,1.0,100.0,0.15,0.3810768739618325,0.04535328358753864,0.021930853918328275,0.9725234332905591,true,61,-1.8099478131746003,0.2,0.2,202.900560859,0.6155944694472049
256,5.0,1.2,1.0,100.0,0.15,0.3756102741656442,0.1383378933219685,0.0927509402829374,0.9977944776818903,true,49,-1.7506070694142464,0.2,0.2,158.26443919,0.6069129505227122
256,5.0,1.6,1.0,100.0,0.15,0.36465750952951415,0.20582289501939433,0.20083422447503274,0.9972606257220851,true,46,-1.720056592584244,0.2,0.2,149.209849509,0.6252333601177988
256,5.0,2.0,1.0,100.0,0.15,0.3512395999167097,0.2503383747307862,0.26608758071011707,0.8602669042911959,true,43,-1.7019910336088526,0.2,0.2,136.362694481,0.6437378557302603
256,5.0,2.4,1.0,100.0,0.15,0.3366705220206915,0.2814446993544151,0.3465556442194817,0.8634981504218597,true,40,-1.692743344683758,0.2,0.2,125.064526916,0.6584385241405172
256,5.0,2.8,1.0,100.0,0.15,0.321630543713625,0.3041449492356744,0.39413976640434445,0.8321271731259738,true,38,-1.6914297524671587,0.2,0.2,117.141329328,0.6700665101506196
256,5.0,3.2,1.0,100.0,0.15,0.30658680039547825,0.32117332218385536,0.45318087745160884,0.8864295990146376,true,36,-1.6974034072935211,0.2,0.2,112.275350002,0.6796189442543302
256,5.0,3.6,1.0,100.0,0.15,0.2918473877674108,0.3342184412382909,0.43860424545183463,0.8359541929618963,true,35,-1.71017595281501,0.2,0.2,108.094461619,0.6881339208138659
256,5.0,4.0,1.0,100.0,0.15,0.2776371114897011,0.34436814484113176,0.42562494055597977,0.8375713533578244,true,34,-1.7290707064964006,0.2,0.2,109.595507671,0.6961419838004649
256,10.0,0.0,1.0,100.0,0.15,0.3815042294856449,0.0,0.8712133922709198,0.3094850098213456,true,30,-1.994949592449198,0.2,0.2,92.603616306,0.7212731029735917
256,10.0,0.4,1.0,100.0,0.15,0.38150200711703475,0.000615076000569745,0.013021295513948594,0.9220423671517027,true,49,-1.900948382492321,0.2,0.2,155.436940998,0.6662219169457199
256,10.0,0.8,1.0,100.0,0.15,0.3810768739618325,0.04535328358753864,0.021930853918328275,0.9725234332905591,true,61,-1.8099478131746003,0.2,0.2,190.254345533,0.6155944694472049
256,10.0,1.2,1.0,100.0,0.15,0.3756102741656442,0.1383378933219685,0.0927509402829374,0.9977944776818903,true,49,-1.7506070694142464,0.2,0.2,151.296859264,0.6069129505227122
256,10.0,1.6,1.0,100.0,0.15,0.36465750952951415,0.20582289501939433,0.20083422447503274,0.9972606257220851,true,46,-1.720056592584244,0.2,0.2,143.497777178,0.6252333601177988
256,10.0,2.0,1.0,100.0,0.15,0.3512395999167097,0.2503383747307862,0.26608758071011707,0.8602669042911959,true,43,-1.7019910336088526,0.2,0.2,135.070199507,0.6437378557302603
