L,U,V,t,β,δ,m,uS,ud,vx,vy,Qm,QuS,Qud,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.5,1.5,1.0,100.0,0.0,0.006482356301109431,0.4052065060398554,-3.032806297764701e-11,-2.0620951550076974e-11,-6.407509659690948e-12,0.9696554264610676,0.001756722512347153,8.644608258285471e-8,5.9207034998731346e-8,1.8397291111880876e-8,true,44,-1.3749185446899068,0.5,0.5,0.841662224,0.0
128,0.5,1.6,1.0,100.0,0.0,0.008646421841818144,0.40519970913453407,3.710339063767165e-9,6.870073315061725e-9,1.228297045767329e-9,0.9732749453341301,0.002365848108754065,1.0329077014270948e-5,1.9243652215823523e-5,3.440563167325806e-6,true,45,-1.3584985148538873,0.5,0.5,0.854274879,0.0
128,0.5,1.7,1.0,100.0,0.0,0.012245940199962084,0.40518667820511506,-4.392558554631998e-7,2.4704129865638533e-6,4.2933822329240895e-8,0.9986468925037746,0.003502301527458229,0.0011978180570731232,0.006771007751829269,0.0001176747339819164,true,43,-1.3420785361478298,0.5,0.5,0.80245386,0.0
128,0.5,1.8,1.0,100.0,0.0,0.01699254652135139,0.40516380238602345,-0.0002400848786483084,0.0003487838198444292,-6.510255477904448e-5,0.9969530006676691,0.005036458792795351,0.6430899066537402,0.938044612839421,0.17507616444887567,true,39,-1.3256606801796935,0.5,0.5,0.737384332,0.0
128,0.5,1.9,1.0,100.0,0.0,NaN,NaN,NaN,NaN,NaN,0.5020148757119564,0.0009087161705334523,44.613545538916924,59.519799751738276,0.03459288999446032,false,100,NaN,0.5,0.5,1.892864264,0.0
128,0.5,2.0,1.0,100.0,0.0,NaN,NaN,NaN,NaN,5.8494623746279024e-9,0.20670865105069502,0.01070144293058295,73.78448696712675,104.14766531128484,1.6456966218739962e-5,false,100,NaN,0.5,0.5,1.895464798,0.0
128,0.5,2.1,1.0,100.0,0.0,NaN,NaN,NaN,-4.164718444624763e-16,NaN,0.016965392019958933,0.03238485365764099,102.5575538333453,1.1690819785908349e-12,145.03415537204867,false,100,NaN,0.5,0.5,1.90751042,0.0
128,0.5,2.2,1.0,100.0,0.0,NaN,NaN,NaN,3.5047375766627406e-19,NaN,0.001483573407782374,0.06968180048194661,131.46524592247403,7.850618320226853e-16,185.92270646523647,false,100,NaN,0.5,0.5,1.926223898,0.0
128,0.5,2.3,1.0,100.0,0.0,2.1963715444986605e-7,NaN,NaN,-7.007458469563802e-20,NaN,0.00012890986612678002,0.12710600313514675,160.8351755835968,5.199505259634461e-17,227.46362888552466,false,100,NaN,0.5,0.5,1.879923149,0.0
128,0.5,2.4,1.0,100.0,0.0,1.7372299202353303e-8,NaN,NaN,-1.306845812806719e-19,NaN,1.265383309920596e-5,0.21169324827163827,190.55582860146427,5.759189117068523e-16,269.5031618253016,false,100,NaN,0.5,0.5,1.932839083,0.0
