L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,2.8,1.0,100.0,0.0,0.3972932076094587,NaN,1.1102230246251565e-13,367.81497329406886,false,100,NaN,0.5,0.5,0.95214553,0.0
128,0.0,2.9,1.0,100.0,0.0,0.39492739840664837,NaN,1.1102230246251565e-13,407.6066541019407,false,100,NaN,0.5,0.5,0.953390883,0.0
128,0.0,3.0,1.0,100.0,0.0,0.3922117693296507,NaN,0.0,446.2053790542912,false,100,NaN,0.5,0.5,0.95365881,0.0
128,0.0,3.1,1.0,100.0,0.0,0.38916542479833616,NaN,0.0,483.2755928829724,false,100,NaN,0.5,0.5,0.947057004,0.0
128,0.0,3.2,1.0,100.0,0.0,0.3857991013799275,NaN,1.1102230246251565e-13,518.752619310923,false,100,NaN,0.5,0.5,0.950933611,0.0
128,0.0,3.3,1.0,100.0,0.0,0.38213939907633687,NaN,0.0,552.4987795780885,false,100,NaN,0.5,0.5,0.945339381,0.0
128,0.0,3.4,1.0,100.0,0.0,0.3782239070652497,NaN,1.1102230246251565e-13,584.3796139059605,false,100,NaN,0.5,0.5,0.944456195,0.0
128,0.0,3.5,1.0,100.0,0.0,0.3740977328437639,NaN,1.1102230246251565e-13,614.2955077484052,false,100,NaN,0.5,0.5,0.93416825,0.0
128,0.0,3.6,1.0,100.0,0.0,0.36980015353522827,NaN,1.1102230246251565e-13,642.255679721705,false,100,NaN,0.5,0.5,0.949585422,0.0
128,0.0,3.7,1.0,100.0,0.0,0.36536320797520827,NaN,2.220446049250313e-13,668.3414533228226,false,100,NaN,0.5,0.5,0.937562714,0.0
128,0.0,3.8,1.0,100.0,0.0,0.3608042541666867,NaN,1.1102230246251565e-13,692.7102320158098,false,100,NaN,0.5,0.5,0.945748886,0.0
128,0.0,3.9,1.0,100.0,0.0,0.3561326376779296,NaN,0.0,715.5240999998729,false,100,NaN,0.5,0.5,0.94708122,0.0
128,0.0,4.0,1.0,100.0,0.0,0.3513943917706214,NaN,0.0,736.7489695191917,false,100,NaN,0.5,0.5,0.947124801,0.0
128,0.0,0.0,1.0,100.0,0.01,0.40520240070281466,2.7755575615628914e-17,0.5960984388726498,0.19531249999999992,true,11,-0.8106077118135238,0.5,0.5,3.443236982,0.02411881734909741
128,0.0,0.1,1.0,100.0,0.01,0.40520119445361846,-3.4257665744719112e-6,0.5961631687236846,0.08375482880032147,true,11,-0.8106100762535435,0.5,0.5,3.34953802,0.023774138806501092
128,0.0,0.2,1.0,100.0,0.01,0.40519991598161054,-2.3911544668603346e-6,0.5963459251968617,0.030994906785010885,true,11,-0.8106124787784836,0.5,0.5,3.461866018,0.023427006287745997
128,0.0,0.3,1.0,100.0,0.01,0.40519855923891185,-1.0530168398498185e-6,0.596592525573203,0.0096194754051085,true,11,-0.81061491855964,0.5,0.5,3.479514906,0.023077257994669573
128,0.0,0.4,1.0,100.0,0.01,0.40519711753482934,-3.2860839287163213e-7,0.5968784223404633,0.002373454835962661,true,11,-0.8106173944167766,0.5,0.5,3.483118151,0.02272472380358361
128,0.0,0.5,1.0,100.0,0.01,0.4051955834489336,-6.943485846011566e-8,0.597195611994783,0.0004219020276837902,true,11,-0.8106199047406902,0.5,0.5,3.501177539,0.02236922541810092
128,0.0,0.6,1.0,100.0,0.01,0.40519394873354875,-8.502528195397652e-9,0.597543501732023,4.517098832945623e-5,true,11,-0.8106224474059632,0.5,0.5,3.429426708,0.022010576338898587
128,0.0,0.7,1.0,100.0,0.01,0.40519220420415125,-4.2077577533383703e-10,0.5979161487585927,2.006217084604342e-6,true,11,-0.8106250196656404,0.5,0.5,3.476491089,0.021648581646664607
128,0.0,0.8,1.0,100.0,0.01,0.4051903396127572,-2.9391211686657925e-12,0.5983181159729956,1.2814289234754084e-8,true,11,-0.8106276180248976,0.5,0.5,3.448075583,0.021283037940202167
