L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ
256,5.0,8.0,1.0,100.0,0.0,0.14496049472350106,-0.017018747906444295,0.2817918334109978,0.33020482880907664,-3.3922904882494054e-6,0.32769441449581604,0.05399015622482156,0.9805679999927985,0.6961472762577747,0.02564981107647178,true,126,-2.5522066742878486,0.05,0.05,8.248644262,0.0
256,10.0,4.0,1.0,100.0,0.0,0.2812756549800755,-0.012973143308105686,0.1469489269391731,0.3502612833304263,-1.2858464293330485e-13,0.30767424626276796,0.08257230710364064,0.9972505649368801,0.10548219390593694,4.0874136478122335e-10,true,178,-1.4714515386564657,0.05,0.05,11.84050188,0.0
256,10.0,4.4,1.0,100.0,0.0,0.25677993640572677,-0.01567896623423115,0.18567681759334895,0.34657220215069917,-3.2009117578724045e-14,0.2859977149355375,0.07442801027962576,0.98683795957899,0.327889410783766,1.0721191489316679e-10,true,204,-1.5678042262668286,0.05,0.05,13.550678496,0.0
256,10.0,4.8,1.0,100.0,0.0,0.2362979176548759,-0.017045676305899815,0.2107350852276973,0.34349348737886065,-1.5975276657087534e-12,0.29766343807002826,0.0680439063891064,0.9815511635261065,0.37096315895990273,5.619776811058787e-9,true,188,-1.6684536552748994,0.05,0.05,12.464703629,0.0
256,10.0,5.2,1.0,100.0,0.0,0.21890458110928632,-0.01773674165117857,0.22856446142360884,0.3408983701089316,-3.8905198507244165e-11,0.3083422384421719,0.06369662116595398,0.9887904316687179,0.36356029072359686,1.4333206604196723e-7,true,173,-1.7724196864460093,0.05,0.05,11.406584426,0.0
256,10.0,5.6,1.0,100.0,0.0,0.20393649266039995,-0.018040985045109717,0.24196181309957604,0.33867589636645956,-3.9188949307877863e-10,0.3096941110120599,0.05906449196074054,0.9746599450195514,0.30428477710575663,1.5081181222667081e-6,true,162,-1.8790587278382396,0.05,0.05,10.776010464,0.0
256,10.0,6.0,1.0,100.0,0.0,0.19092154351066626,-0.018107163418964137,0.2523682982021823,0.3367690638913697,-2.639028304912694e-9,0.32381370485368155,0.05776582575574979,0.9975527417760421,0.20090496673130787,1.058279861405061e-5,true,152,-1.9877727598971642,0.05,0.05,10.062562919,0.0
256,10.0,6.4,1.0,100.0,0.0,0.17949147461152096,-0.01802417037550251,0.2606885504640981,0.3351035134887769,-1.0523214017191251e-8,0.32510427971588207,0.05541276192171096,0.9887214195063443,0.0636331851598948,4.387659352777566e-5,true,145,-2.09825214847889,0.05,0.05,9.583240224,0.0
256,10.0,6.8,1.0,100.0,0.0,0.1693749869330603,-0.01784467866372566,0.2674639590882339,0.33364696213394307,-3.2685600314871777e-8,0.32924200131362324,0.054490248055656665,0.9910859029448327,0.10299598172480717,0.00014140836903164849,true,139,-2.2101401356355947,0.05,0.05,9.284627227,0.0
256,10.0,7.2,1.0,100.0,0.0,0.16035595767162464,-0.01760330219286023,0.27307460221724267,0.3323632572260805,-8.230864700572993e-8,0.33274928925036695,0.054315731635577735,0.9960074251815776,0.29063500316695023,0.0003687825248168135,true,134,-2.32320860453487,0.05,0.05,8.797710193,0.0
256,10.0,7.6,1.0,100.0,0.0,0.15226372713063774,-0.01732281983286188,0.27778534012665845,0.3312245192402602,-1.7314476502376663e-7,0.33220975137771,0.05421676997820202,0.9943261792696445,0.4857895616583452,0.000801997418787447,true,130,-2.4372732054660142,0.05,0.05,8.568301388,0.0
256,10.0,8.0,1.0,100.0,0.0,0.14496168934850145,-0.017018529243174943,0.2817861549016664,0.3302092802715988,-3.1126265851669915e-7,0.32466347057519274,0.05354884423735412,0.9768027564969195,0.6713508914525379,0.001488051451521774,true,127,-2.5521810632336166,0.05,0.05,8.392369225,0.0
256,0.0,4.0,1.0,100.0,0.05,0.27855461175878543,-0.012638460192613804,0.14796690362242335,0.3476149419749319,-0.008003322658945017,0.3125920210425015,0.07951589162340233,0.9968586846113014,0.09254572257533233,0.0666510320609208,true,174,-1.5820834655016134,0.05,0.05,415.621539059,0.21932778494109376
256,0.0,4.4,1.0,100.0,0.05,0.2544092562954491,-0.015158364781949082,0.18585649889520028,0.3441907128074039,-0.008727654257236619,0.28671921289114,0.07218823735723884,0.9998172961153129,0.33388748897622555,0.03401043652824509,true,201,-1.6782918903982367,0.05,0.05,472.173010067,0.22100723036641737
256,0.0,4.8,1.0,100.0,0.05,0.2341454238383036,-0.016417984654290063,0.21059459528424865,0.34128051800546555,-0.008777847349676533,0.29374435840495705,0.06490049592927649,0.9839012221178334,0.37792197534802785,0.03818765739119906,true,187,-1.7801405791768714,0.05,0.05,435.963849608,0.22463183612164347
256,0.0,5.2,1.0,100.0,0.05,0.21689859627629832,-0.01703412549834371,0.22828332394365358,0.33879630801379074,-0.008608447683398891,0.29995543651972767,0.05966350331017278,0.9805905955007632,0.3744025727618894,0.05293095666181885,true,173,-1.8861660117111496,0.05,0.05,402.624906324,0.22954192754266364
256,0.0,5.6,1.0,100.0,0.05,0.20203949204349192,-0.017277340412000255,0.2415875296455654,0.3366688769165064,-0.008334028982302413,0.3098638130863418,0.05609188445267893,0.988129435322116,0.32089334422269467,0.0738483264705915,true,161,-1.9952852518293636,0.05,0.05,372.558356453,0.23519615132981703
256,0.0,6.0,1.0,100.0,0.05,0.18909923244077684,-0.017292457880220394,0.25195214850725084,0.33482997906757167,-0.008010139239115007,0.31274139998854755,0.05250233978149749,0.9758950961041846,0.21864493996293088,0.10207527441854353,true,152,-2.1068216165397486,0.05,0.05,353.306882049,0.2413244057763992
256,0.0,6.4,1.0,100.0,0.05,0.1777304794497322,-0.01716334956925554,0.2602231363047589,0.33323714126656845,-0.007675244781905247,0.3236945025389959,0.05131608648178965,0.9869769760547653,0.07328276175744275,0.1455490136982561,true,144,-2.2202486088537485,0.05,0.05,330.27735063,0.24779163211732708
256,0.0,6.8,1.0,100.0,0.05,0.16765865928017115,-0.01694308901505051,0.2669705518048798,0.3318381500888641,-0.007349657257853826,0.32726069371147304,0.05011107303859452,0.9817823780023938,0.09901965220804332,0.19438099715409982,true,138,-2.335266673663875,0.05,0.05,317.250219056,0.25451878856851207
256,0.0,7.2,1.0,100.0,0.05,0.15867384466320206,-0.016664879667194904,0.2725621036689282,0.3306038392195675,-0.007043399851055381,0.33068683580395053,0.04982777742434247,0.9807502920445854,0.29269556305278055,0.25008723943284983,true,133,-2.4515854133453585,0.05,0.05,306.438796914,0.26144230252341777
256,0.0,7.6,1.0,100.0,0.05,0.15060761845219078,-0.016350937395813184,0.27726299580563174,0.3295054395760295,-0.006762076238541861,0.33061152406793637,0.04978676969488727,0.9752214829321648,0.4938379431075335,0.30701520522752496,true,129,-2.569009878818634,0.05,0.05,294.991280055,0.2685233214716653
256,0.0,8.0,1.0,100.0,0.05,0.14332548380167537,-0.016016051703167916,0.2812616736196546,0.3285222600593506,-0.006508639672007624,0.33967847780674854,0.051661509071390666,0.9997284013163465,0.726267649733825,0.376258557481253,true,125,-2.687365202869942,0.05,0.05,290.155437422,0.27571792663431316
256,5.0,4.0,1.0,100.0,0.05,0.2786449434735022,-0.01278100330880888,0.14753450820304514,0.3477175126711549,-0.004400479465544088,0.5276895914319013,0.08048610561531278,0.9996381762022999,0.4975393975081843,0.022919580686840343,true,145,-1.583420544105485,0.05,0.05,332.230101556,0.22268613704575238
256,5.0,4.4,1.0,100.0,0.05,0.2544512851302107,-0.015320772504370472,0.18553442678865395,0.344316055209425,-0.005125617625978587,0.2926133511560458,0.07213143997457372,0.985794548301111,0.2993322446283031,0.017852223710285164,true,191,-1.6802304100553598,0.05,0.05,433.591039093,0.2254991403785779
256,5.0,4.8,1.0,100.0,0.05,0.23413262295356213,-0.016585428726877266,0.210422395686596,0.3413738693108593,-0.005421078076539989,0.30429561430767027,0.06568965251255166,0.9848939304749615,0.3423557491053497,0.014140918130274224,true,180,-1.782412298767563,0.05,0.05,408.763391385,0.2294129860187348
256,5.0,5.2,1.0,100.0,0.05,0.21686034543812238,-0.017192956131032014,0.22815787280529298,0.3388834728134112,-0.005514354567155339,0.31751124879542125,0.061471727556459965,0.9953865609045875,0.324391423277004,0.014002011898625252,true,167,-1.8884203151544832,0.05,0.05,378.410826468,0.23420171846768284
256,5.0,5.6,1.0,100.0,0.05,0.20198231363997576,-0.017428129277753626,0.2415149915957444,0.33673400310243407,-0.005522100322567402,0.32227565809572756,0.05745286040650943,0.9879852612080797,0.25448048580378746,0.016620203287858945,true,157,-1.997562281352229,0.05,0.05,358.51469027,0.23971628377579104
256,5.0,6.0,1.0,100.0,0.05,0.189030837754072,-0.017435857034871466,0.2519287577857824,0.33486685986619824,-0.005481690247232225,0.32489314765765664,0.054101669588420276,0.9761286399513347,0.1423700533168537,0.01741434009619805,true,149,-2.1091579810426797,0.05,0.05,338.043348566,0.2457290244465518
256,5.0,6.4,1.0,100.0,0.05,0.1776553945036362,-0.017298337087320967,0.26023802586250866,0.33324834560032734,-0.005397521413870581,0.3322345992949338,0.05243633931124175,0.9772480853783572,0.010188227530516514,0.017445576323344564,true,142,-2.222604687633159,0.05,0.05,323.428710734,0.25201569989087963
256,5.0,6.8,1.0,100.0,0.05,0.16758312652869878,-0.017068217349261755,0.2669981846924042,0.3318390983532118,-0.005283411531270973,0.34200030488273914,0.05237223587445383,0.9885099373557749,0.19648270785688204,0.020637364083680304,true,136,-2.337536582451101,0.05,0.05,308.509523179,0.258493645322406
256,5.0,7.2,1.0,100.0,0.05,0.15859880528939727,-0.016780213276909303,0.2725969134447061,0.33059797720453526,-0.005154179538041089,0.33585064591196145,0.051088667276405486,0.9637493709444556,0.3775096030254055,0.026138032383826726,true,132,-2.4537461720110705,0.05,0.05,300.795465403,0.26515049521311124
256,5.0,7.6,1.0,100.0,0.05,0.1505361145665846,-0.016456437861779555,0.27728909192979434,0.32950470025430867,-0.005019716213390936,0.3390312818896124,0.05205928752292227,0.9677278928738042,0.5862942806963423,0.03578244809331402,true,128,-2.570987245756848,0.05,0.05,290.266053364,0.2719429036762234
256,5.0,8.0,1.0,100.0,0.05,0.1432578114919462,-0.016112265384131574,0.2812741333683537,0.3285310539204944,-0.004886254728603257,0.3345617293639136,0.05247980940044361,0.9552791967536445,0.784694694991872,0.046834577515057416,true,125,-2.689142425093523,0.05,0.05,291.801979327,0.2788667899281943
256,10.0,4.0,1.0,100.0,0.05,0.27863483947522605,-0.01285130534636933,0.14756581762121623,0.34768768664497895,-0.003038215583257217,0.6739312703464284,0.07664730841151768,0.952264444777251,0.9659614278064721,0.01609572163301272,true,137,-1.5841060384428696,0.05,0.05,309.317813919,0.22391315413326085
256,10.0,4.4,1.0,100.0,0.05,0.25447704833261303,-0.015385304765564378,0.18536164661305388,0.3443660886660698,-0.0036232372542954402,0.30797339523214173,0.07308978329811228,0.9919678662952403,0.2608703981968885,0.01311195576310896,true,183,-1.6809129628936605,0.05,0.05,414.708000486,0.2273176921241056
256,10.0,4.8,1.0,100.0,0.05,0.23413081251834494,-0.01665997287816287,0.21032976913284102,0.34140505391864545,-0.0039233904002776675,0.31970507947376436,0.06684373875509575,0.9933208753892808,0.2981484283953728,0.01110220217503434,true,174,-1.7833651494481202,0.05,0.05,393.487101925,0.23155753379055152
256,10.0,5.2,1.0,100.0,0.05,0.21683770679327258,-0.01727050853473433,0.22812025104092357,0.3388959719055141,-0.004064890178027223,0.32724600716638186,0.06118890475606542,0.9819705050397864,0.25842867683867343,0.009726543121835532,true,163,-1.8895307915996817,0.05,0.05,369.444086529,0.2364559260135158
256,10.0,5.6,1.0,100.0,0.05,0.2019537466827352,-0.017502696748953217,0.24147865550445377,0.33675169145228745,-0.004126600325599538,0.3417826969603355,0.05859357086833439,0.9948146052594087,0.16552500297617456,0.010903633925253911,true,153,-1.99864078094337,0.05,0.05,350.236653015,0.2419263076818666
256,10.0,6.0,1.0,100.0,0.05,0.1889964118133344,-0.01750824685194191,0.2519034391067865,0.3348815908318918,-0.004152108812292853,0.34212779470027543,0.055378559874440236,0.9792702617615889,0.040798495942739876,0.012772175774984282,true,146,-2.110241460697858,0.05,0.05,330.24993175,0.24790571884134818
256,10.0,6.4,1.0,100.0,0.05,0.17761545132183748,-0.017370062437038675,0.2602366316842237,0.33324913946244006,-0.0041508693041966156,0.34521300279066747,0.05342605415799978,0.9742176573129813,0.11460731058088314,0.012626095550636804,true,140,-2.2237754591490937,0.05,0.05,318.254286235,0.2542182047827392
256,10.0,6.8,1.0,100.0,0.05,0.16753921570773037,-0.01713855462591138,0.267019160564408,0.33182508844422454,-0.0041198297852482,0.3473824954862703,0.05221520709487032,0.9706874592724235,0.2921834030630288,0.01132265726682194,true,135,-2.3387912960565442,0.05,0.05,308.218044005,0.26069904616810086
256,10.0,7.2,1.0,100.0,0.05,0.15855465928090032,-0.01684763474044261,0.2726243443753084,0.33057952375655875,-0.004065818797890742,0.3455914729945109,0.05148702611512679,0.9626277107998016,0.4765655447036554,0.010984378033873643,true,131,-2.455005005700291,0.05,0.05,300.139707487,0.2673025153555651
256,10.0,7.6,1.0,100.0,0.05,0.150492793073286,-0.016520293771792982,0.2773173664392079,0.32948568857609317,-0.0039980828410995034,0.3530531709923235,0.05299924169623049,0.9838962654395988,0.690577972870865,0.012397951624880388,true,127,-2.572212700635714,0.05,0.05,288.802189002,0.27400925889585376
256,10.0,8.0,1.0,100.0,0.05,0.1432161493544632,-0.016172222246063905,0.28129819663889477,0.3285153608396928,-0.003923155674804913,0.3518129309228457,0.053884022518609076,0.9872097944420011,0.8915931322587278,0.014646161317403983,true,124,-2.6903021496954986,0.05,0.05,286.896200605,0.2808290815214177
256,0.0,4.0,1.0,100.0,0.1,0.2704288128399992,-0.011614956343730568,0.15127455047529353,0.3394356455755937,-0.016256287030925458,0.32789003842548237,0.07012248360805176,0.9960059542479249,0.0622039645283845,0.10930193457014264,true,170,-1.6976700698995413,0.05,0.05,402.892750948,0.44356384844934454
256,0.0,4.4,1.0,100.0,0.1,0.2472694995437659,-0.01361068421114689,0.18676175189094768,0.3367693680569975,-0.017561697035973458,0.27857235616757237,0.06178881507982667,0.990272973544315,0.32826330081303645,0.06508241922165842,true,195,-1.792376105644154,0.05,0.05,459.466664344,0.44755077509642766
