L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ
256,0.0,3.2,1.0,100.0,0.05,0.403090901204026,0.9316747481673548,true,30,-0.8066086176492768,0.2,0.2,29.643366836,0.06458290434696555
256,0.0,3.6,1.0,100.0,0.05,0.40298696504081344,0.9231099625091055,true,30,-0.8065301113864773,0.2,0.2,29.448242544,0.050340202576689634
256,0.0,4.0,1.0,100.0,0.05,0.4027292658800734,0.8958556926920158,true,30,-0.8062512116583843,0.2,0.2,29.395226228,0.03630702896991275
256,0.0,0.0,1.0,100.0,0.1,0.3957542800338832,0.9153151626098976,true,30,-0.7916304997371081,0.2,0.2,31.302606342,0.42685057041351393
256,0.0,0.4,1.0,100.0,0.1,0.3957516147971945,0.9152640219102226,true,30,-0.7916353990984059,0.2,0.2,30.683157556,0.39308669912613425
256,0.0,0.8,1.0,100.0,0.1,0.395748151024925,0.9151857356408666,true,30,-0.7916406677756956,0.2,0.2,30.781977492,0.3593332867390418
256,0.0,1.2,1.0,100.0,0.1,0.39574353759336,0.9150633013891296,true,30,-0.7916462221274296,0.2,0.2,30.854150307,0.3255916943851011
256,0.0,1.6,1.0,100.0,0.1,0.39573720987740824,0.914866241762069,true,30,-0.7916518337874023,0.2,0.2,30.958899642,0.29186320428804174
256,0.0,2.0,1.0,100.0,0.1,0.39572821258742064,0.9145366970987334,true,30,-0.7916569592440601,0.2,0.2,30.957720682,0.258149163656451
256,0.0,2.4,1.0,100.0,0.1,0.395714822894328,0.9139565664398885,true,30,-0.7916603375891181,0.2,0.2,30.761290742,0.224451577778751
256,0.0,2.8,1.0,100.0,0.1,0.3956936675320336,0.9128611653012042,true,30,-0.7916589535107097,0.2,0.2,31.128424766,0.19077476031489884
256,0.0,3.2,1.0,100.0,0.1,0.3956573773414125,0.9105785932344013,true,30,-0.7916450252264374,0.2,0.2,30.766196953,0.15712956050679472
256,0.0,3.6,1.0,100.0,0.1,0.39558718073834104,0.9050773771209775,true,30,-0.7915956595117357,0.2,0.2,30.988858267,0.12354524678387108
256,0.0,4.0,1.0,100.0,0.1,0.39542266412645516,0.8883508318039413,true,30,-0.7914270967128644,0.2,0.2,31.02849952,0.09011357217605183
256,0.0,0.0,1.0,100.0,0.15,0.38150422948564494,0.8712133922710308,true,30,-0.7631136165450739,0.2,0.2,25.33671841,0.7212731029735912
256,0.0,0.4,1.0,100.0,0.15,0.3815020689990282,0.871172451986868,true,30,-0.7631176024137437,0.2,0.2,26.925789206,0.6662831369227864
256,0.0,0.8,1.0,100.0,0.15,0.38149927995202104,0.8711104611973663,true,30,-0.7631218945876761,0.2,0.2,26.676812439,0.6113031670585373
256,0.0,1.2,1.0,100.0,0.15,0.38149559862953775,0.8710148703207077,true,30,-0.7631264343484189,0.2,0.2,27.052623726,0.5563337357994782
256,0.0,1.6,1.0,100.0,0.15,0.3814906103388276,0.8708637845197265,true,30,-0.7631310613101079,0.2,0.2,27.464306124,0.5013753508741411
256,0.0,2.0,1.0,100.0,0.15,0.38148363233028987,0.8706169671615083,true,30,-0.7631354013091637,0.2,0.2,30.102803654,0.4464287199075836
256,0.0,2.4,1.0,100.0,0.15,0.3814734742079817,0.87019549157763,true,30,-0.7631386133294388,0.2,0.2,30.578820361,0.3914953394471105
256,0.0,2.8,1.0,100.0,0.15,0.3814579035279294,0.8694311482921879,true,30,-0.7631387710275348,0.2,0.2,30.385551695,0.33657884551692446
256,0.0,3.2,1.0,100.0,0.15,0.381432316072616,0.8679245867536656,true,30,-0.7631311847791569,0.2,0.2,30.44274147,0.2816881683439011
256,0.0,3.6,1.0,100.0,0.15,0.381385910254608,0.8645786038620207,true,30,-0.7631031592328963,0.2,0.2,30.469081679,0.22684584282861295
256,0.0,4.0,1.0,100.0,0.15,0.3812881716473086,0.8556732471934891,true,30,-0.7630139521954282,0.2,0.2,30.588253736,0.172115451928228
256,0.0,0.0,1.0,100.0,0.2,0.3593419491772771,0.8026244568820617,true,30,-0.7187767099304321,0.2,0.2,25.656887595,1.0591852450403874
256,0.0,0.4,1.0,100.0,0.2,0.3593401793827995,0.8025916819663914,true,30,-0.7187799876744936,0.2,0.2,25.504717999,0.9831634193300227
