L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.4,1.2,1.0,100.0,0.0,0.3945437723081747,-3.969661944810965e-6,5.944625350428733e-5,0.2115276280812023,-2.841100608177993e-7,0.0879406914757741,0.01869225313192202,0.28296282254124583,0.966182098865842,0.004095024198990076,true,42,-1.4450747903519228,0.2,0.2,2.37858035,0.0,1
256,0.4,1.6,1.0,100.0,0.0,0.38433292143538716,-2.2072888680280123e-5,0.0002749646255415022,0.2569751171986252,-4.0996330790549207e-7,0.1649999662224344,0.06313680786910855,0.7898040179995984,0.9060446041861958,0.007006412506941462,true,41,-1.4066542713585357,0.2,0.2,2.296537015,0.0,1
256,0.4,2.0,1.0,100.0,0.0,0.3720388795089868,-4.6012075968951405e-5,0.0005202548101859994,0.2900347244592283,-7.337490411790659e-8,0.06789065324397381,0.08156752833085937,0.9227058316063682,0.2087358305251641,0.0014255073763151478,true,48,-1.3795736529891585,0.2,0.2,2.695657563,0.0,1
256,0.4,2.4,1.0,100.0,0.0,0.35848701595494015,-8.302948792665577e-5,0.0008943900311971387,0.3144882223000173,-3.0028115896585383e-9,0.00418558140846681,0.0881206579794182,0.9492566782117765,0.016310743137459838,6.450849086717431e-5,true,61,-1.3628900529565389,0.2,0.2,3.396951894,0.0,1
256,0.4,2.8,1.0,100.0,0.0,0.34423966308639875,-0.00015980668701109924,0.0016903915453920053,0.3329287412958737,-6.628676774145248e-12,0.0034670199695607806,0.0906981915752813,0.9594011776395406,0.004470528185640532,1.5462234296848417e-7,true,86,-1.355530617577693,0.2,0.2,4.795051231,0.0,1
256,0.4,3.2,1.0,100.0,0.0,0.32972347930595436,-0.0004443259045216613,0.004708168152778356,0.3470134832204825,0.0,0.009310867640777154,0.09291836868771988,0.9846683770263521,0.00822127982058607,1.898170763760664e-14,true,151,-1.356480085712378,0.2,0.2,8.385798885,0.0,1
256,0.4,3.6,1.0,100.0,0.0,0.30951303163120236,-0.007238352455570848,0.0785098430504075,0.3534167695898156,-5.3915205633359164e-15,0.14554921679488242,0.0904559875410365,0.9984002925823299,0.12146119615985551,1.4790707836389587e-10,true,116,-1.387023654070774,0.2,0.2,6.388892245,0.0,1
256,0.4,4.0,1.0,100.0,0.0,0.2812677607153947,-0.012975626431775605,0.14697890741684722,0.35025376534941727,-3.2817871292029066e-7,0.2977454930457313,0.08077920036615033,0.9752129379476671,0.11689102661560646,0.010328014468163057,true,42,-1.4714868740975269,0.2,0.2,2.305068568,0.0,1
256,0.8,0.0,1.0,100.0,0.0,0.40525405929677566,1.3877787807814457e-17,-4.652890945610781e-25,8.271806125530277e-25,-1.5324308007832273e-8,0.9467311867649153,0.3094850098213196,0.3094850098213456,0.3094850098213456,5.758374419093206e-5,true,30,-1.6212674825229376,0.2,0.2,1.65524541,0.0,1
256,0.8,0.4,1.0,100.0,0.0,0.4049903604907511,-3.356021244516061e-7,5.155504985811482e-6,0.05766838308310063,-1.2362277344163397e-8,0.17044707966029637,0.00011929159300772362,0.10685456898218139,0.9711795850496224,5.744165643786201e-5,true,38,-1.5557525849615466,0.2,0.2,2.099323624,0.0,1
256,0.8,0.8,1.0,100.0,0.0,0.4017500928905944,-7.459171000312459e-7,1.5835418655510284e-5,0.14724548068644608,-4.923884812033097e-8,0.013523405806958877,0.006013278013157491,0.13703494230106242,0.9956384161494691,0.00032632545963730833,true,41,-1.4952322239431806,0.2,0.2,2.251711151,0.0,1
256,0.8,1.2,1.0,100.0,0.0,0.39454452502489434,-3.966772277680386e-6,5.940094485165897e-5,0.2115230904103951,-8.625023670966181e-8,0.09031131353909316,0.018676276453168085,0.28274461018141217,0.9821960193597268,0.0007078189644893139,true,42,-1.4450747884661495,0.2,0.2,2.30231685,0.0,1
256,0.8,1.6,1.0,100.0,0.0,0.38433335258247575,-2.206064575371869e-5,0.00027481049744480877,0.2569736626800165,-1.7995154599076413e-7,0.16688780791218605,0.0630994885147076,0.789355883552461,0.9136265368786534,0.0017176524763117772,true,41,-1.4066542707535947,0.2,0.2,2.241585336,0.0,1
