L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
128,4.0,2.4,1.0,100.0,0.0,0.35852226237000084,0.3144353450028705,0.3202588901518588,0.6820539990837204,true,14,-1.3628879954730213,0.5,0.5,0.226781281,0.0
128,4.0,2.5,1.0,100.0,0.0,0.35500221486851247,0.319543050597188,0.3056690414540153,0.6152630907443335,true,14,-1.3602154542663332,0.5,0.5,0.18480602,0.0
128,4.0,2.6,1.0,100.0,0.0,0.3514690201478866,0.32427899692457707,0.4909008385283187,0.9956881604289425,true,13,-1.3581083449732771,0.5,0.5,0.249808215,0.0
128,4.0,2.7,1.0,100.0,0.0,0.34788273928839386,0.328732569363936,0.4689478526080926,0.9096015630725152,true,13,-1.3565498610004076,0.5,0.5,0.214593763,0.0
128,4.0,2.8,1.0,100.0,0.0,0.34427545408420757,0.33289296540110724,0.445190811542151,0.8313299424798082,true,13,-1.3555233898540107,0.5,0.5,0.192443195,0.0
128,4.0,2.9,1.0,100.0,0.0,0.34065355869653036,0.33678235211466856,0.4202230062476664,0.7605269875941012,true,13,-1.355012569263747,0.5,0.5,0.161932197,0.0
128,4.0,3.0,1.0,100.0,0.0,0.33702301048058003,0.34042094043312154,0.39458827943272823,0.6967859690391043,true,13,-1.355001315210713,0.5,0.5,0.152293471,0.0
128,4.0,3.1,1.0,100.0,0.0,0.33338934883704335,0.3438271951887699,0.3687741554795343,0.6396588252726154,true,13,-1.3554738481506194,0.5,0.5,0.162328326,0.0
128,4.0,3.2,1.0,100.0,0.0,0.3297577131081043,0.34701801743396743,0.34320687719457954,0.5886718830385718,true,13,-1.356414713997482,0.5,0.5,0.16011096,0.0
128,4.0,3.3,1.0,100.0,0.0,0.3261328598091797,0.35000890325540146,0.31824844486560977,0.5433389333755478,true,13,-1.3578088007874398,0.5,0.5,0.161239144,0.0
128,4.0,3.4,1.0,100.0,0.0,0.3225299708237021,0.3528059530458231,0.5452255953029006,0.97382582878347,true,12,-1.3596413522284847,0.5,0.5,0.157150836,0.0
128,4.0,3.5,1.0,100.0,0.0,0.3189292904730592,0.35544054652183854,0.5082509201466134,0.9110021924509937,true,12,-1.361897975580919,0.5,0.5,0.154092606,0.0
128,4.0,3.6,1.0,100.0,0.0,0.31534787730030944,0.357914124577402,0.47250984218005776,0.8548422892231677,true,12,-1.3645646524182142,0.5,0.5,0.152802109,0.0
128,4.0,3.7,1.0,100.0,0.0,0.31178909316754977,0.36023787491835835,0.4383406758704522,0.804775842816019,true,12,-1.3676277413329072,0.5,0.5,0.154655549,0.0
128,4.0,3.8,1.0,100.0,0.0,0.30825599310882357,0.3624221183475066,0.40599673820729265,0.7602427891393315,true,12,-1.3710739816896207,0.5,0.5,0.217276865,0.0
128,4.0,3.9,1.0,100.0,0.0,0.3047513423813073,0.36447638465420007,0.37565176166032277,0.7207015348409396,true,12,-1.3748904950134797,0.5,0.5,0.476333377,0.0
128,4.0,4.0,1.0,100.0,0.0,0.30127763298903654,0.36640948075889646,0.3474071794361544,0.6856356186912826,true,12,-1.379064784838847,0.5,0.5,0.264308707,0.0
128,12.0,0.0,1.0,100.0,0.0,0.4052305930846236,0.0,0.5961535021183906,0.1953125,true,11,-1.6212287122694495,0.5,0.5,0.139646218,0.0
128,12.0,0.1,1.0,100.0,0.0,0.40522991669350905,0.00024282115150096287,0.14918677283715098,0.9734323168866224,true,13,-1.6048075519635738,0.5,0.5,0.252733336,0.0
128,12.0,0.2,1.0,100.0,0.0,0.40522915378562596,0.0009470932850722758,0.0002729192452033402,0.915214917160403,true,23,-1.5883863976586703,0.5,0.5,0.337440915,0.0
128,12.0,0.3,1.0,100.0,0.0,0.40520590775936716,0.02093567111469475,0.002247573308689077,0.9558212684092487,true,34,-1.5719655977148064,0.5,0.5,0.451232887,0.0
128,12.0,0.4,1.0,100.0,0.0,0.4049713755470955,0.05819833841855376,0.019268335409106108,0.8299390671150791,true,17,-1.5557313245395172,0.5,0.5,0.217453979,0.0
128,12.0,0.5,1.0,100.0,0.0,0.40453942906332774,0.08336056284295311,0.6103483054997749,0.7038270208737651,true,11,-1.5398483395008036,0.5,0.5,0.141330144,0.0
128,12.0,0.6,1.0,100.0,0.0,0.4038875953245922,0.1057285142073787,0.2677496788637823,0.8238783491310853,true,12,-1.5244090868922822,0.5,0.5,0.156837213,0.0
128,12.0,0.7,1.0,100.0,0.0,0.4029454080424669,0.12742296600129227,0.00376683256919641,0.8006978962016853,true,15,-1.5095105735830217,0.5,0.5,0.183181997,0.0
128,12.0,0.8,1.0,100.0,0.0,0.40173831812247307,0.14737406010794307,0.035465675314538814,0.7818797381246023,true,16,-1.495227831382326,0.5,0.5,0.193704589,0.0
128,12.0,0.9,1.0,100.0,0.0,0.40028085813221176,0.16560150679216895,0.05904452360916412,0.8700808580776043,true,16,-1.481613887085568,0.5,0.5,0.206785774,0.0
128,12.0,1.0,1.0,100.0,0.0,0.39858297498388023,0.18229457453206693,0.08113980394874876,0.8945457639615295,true,16,-1.4687040707048187,0.5,0.5,0.578324059,0.0
128,12.0,1.1,1.0,100.0,0.0,0.396661884235929,0.19757496414030204,0.10066245845308242,0.8780248636970911,true,16,-1.4565200632309292,0.5,0.5,0.294162356,0.0
128,12.0,1.2,1.0,100.0,0.0,0.3945353656173749,0.21157124618852774,0.11703690321973603,0.836470271459222,true,16,-1.4450732537127076,0.5,0.5,0.227751154,0.0
128,12.0,1.3,1.0,100.0,0.0,0.3922209099606683,0.22440725248400478,0.13004855919940272,0.7807432715387641,true,16,-1.4343673150140113,0.5,0.5,0.267874776,0.0
128,12.0,1.4,1.0,100.0,0.0,0.38973528454853246,0.23619721544852493,0.13972249160210115,0.7180890825579378,true,16,-1.4244001575809977,0.5,0.5,0.267274131,0.0
128,12.0,1.5,1.0,100.0,0.0,0.3870943390714725,0.24704422810122345,0.14623505082611565,0.6532509587738877,true,16,-1.4151654008182908,0.5,0.5,0.195329912,0.0
128,12.0,1.6,1.0,100.0,0.0,0.3843319943019854,0.2569760382662072,0.2235117701470113,0.9215252297044563,true,15,-1.406653459706038,0.5,0.5,0.191347513,0.0
128,12.0,1.7,1.0,100.0,0.0,0.38142320638016425,0.2662126624113954,0.2290044504855704,0.838437526512803,true,15,-1.398852461863291,0.5,0.5,0.192829624,0.0
128,12.0,1.8,1.0,100.0,0.0,0.37840062618737036,0.2747512399470157,0.23097569790675454,0.7586334475134793,true,15,-1.3917487419481491,0.5,0.5,0.190007412,0.0
128,12.0,1.9,1.0,100.0,0.0,0.37527645703634216,0.28265588663040275,0.2298289288170663,0.6833505929494388,true,15,-1.385327415659589,0.5,0.5,0.189323059,0.0
