L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,10.0,8.0,1.0,100.0,0.0,0.24554781699182493,NaN,0.0,0.0,1.4988010832439613e-12,740.3342293494392,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,42.580757534,0.0
256,0.0,4.0,1.0,100.0,0.05,0.40272966821072975,0.0,0.0,0.0,0.9728376394537719,1.5090155250102736e-15,0.328458614616758,0.328458614616758,true,126,-0.9829210496872541,0.05,0.05,437.040928174,0.03632028776970209
256,0.0,4.4,1.0,100.0,0.05,0.40184064579079665,2.7755575615628914e-17,0.0,0.0,0.9515695582903438,5.624146960965997e-14,0.3639430632872665,0.3639430632872665,true,124,-0.910702039292193,0.05,0.05,425.527857314,0.022763697025195866
256,0.0,4.8,1.0,100.0,0.05,0.39654748292743525,-9.049705429475807e-14,0.0,0.0,0.9195697075710108,1.8503279005970153e-10,0.9644616106539327,0.9644616106539327,true,105,-0.8402652745318886,0.05,0.05,363.948324523,0.011028208986189355
256,0.0,5.2,1.0,100.0,0.05,0.3697019224122885,NaN,0.0,0.0,4.440892098500626e-13,427.6816323459698,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1393.623963514,0.014970477938734605
256,0.0,5.6,1.0,100.0,0.05,0.3458477180826358,NaN,0.0,0.0,1.5543122344752192e-12,534.1569546867079,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1384.559922639,0.015121310685174829
256,0.0,6.0,1.0,100.0,0.05,0.32421579975334364,NaN,0.0,0.0,7.771561172376096e-13,598.2997056902304,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1368.412602625,0.01522977125235512
256,0.0,6.4,1.0,100.0,0.05,0.3048570219683481,NaN,0.0,0.0,1.6653345369377348e-12,641.5832498242661,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1369.469803509,0.015379880213321671
256,0.0,6.8,1.0,100.0,0.05,0.2875457594092026,NaN,0.0,0.0,1.7763568394002505e-12,672.7324357531357,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1393.119722841,0.015570730918176566
256,0.0,7.2,1.0,100.0,0.05,0.27202117375414014,NaN,0.0,0.0,1.4432899320127035e-12,696.1346333197894,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1408.181726548,0.0157935037937985
256,0.0,7.6,1.0,100.0,0.05,0.25804312509190436,NaN,0.0,0.0,1.5543122344752192e-12,714.2783446382848,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1354.944058947,0.016040527613763306
256,0.0,8.0,1.0,100.0,0.05,0.2454036208734231,NaN,0.0,0.0,6.661338147750939e-13,728.6915080097149,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1232.73645889,0.01630604272336591
256,5.0,4.0,1.0,100.0,0.05,0.40272966821072975,0.0,0.0,0.0,0.9728376394537719,1.5090155250102736e-15,0.328458614616758,0.328458614616758,true,126,-0.9829210496872541,0.05,0.05,388.156970005,0.03632028776970209
256,5.0,4.4,1.0,100.0,0.05,0.40184064579079665,2.7755575615628914e-17,0.0,0.0,0.9515695582903438,5.624146960965997e-14,0.3639430632872665,0.3639430632872665,true,124,-0.910702039292193,0.05,0.05,379.556624873,0.022763697025195866
256,5.0,4.8,1.0,100.0,0.05,0.39654748292743525,-9.049705429475807e-14,0.0,0.0,0.9195697075710108,1.8503279005970153e-10,0.9644616106539327,0.9644616106539327,true,105,-0.8402652745318886,0.05,0.05,323.352983547,0.011028208986189355
256,5.0,5.2,1.0,100.0,0.05,0.3697019224122885,NaN,0.0,0.0,4.440892098500626e-13,427.6816323459698,2.5867145497932076e-7,2.5867145497932076e-7,false,400,NaN,0.05,0.05,1241.641039523,0.014970477938734605
