L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,0.6,1.0,100.0,0.0,NaN,0.4052257080369086,NaN,NaN,0.20074355720323808,2.254826214489549e-13,1.1383916464086592,3.135907807856587,false,100,NaN,0.5,0.5,1.737429181,0.0
128,0.5,0.7,1.0,100.0,0.0,NaN,0.4052246544719662,NaN,8.29155154622663e-16,0.18831530443111097,7.759033343708849e-13,72.3737904304469,-3.52803172969279,false,100,NaN,0.5,0.5,1.656240916,0.0
128,0.5,0.8,1.0,100.0,0.0,NaN,0.40522351221966213,NaN,5.62627770117201e-5,0.1753507563195136,6.323534108366262e-11,3.610193462777503,-3.9321083052654324,false,100,NaN,0.5,0.5,1.718304742,0.0
128,0.5,0.9,1.0,100.0,0.0,NaN,0.4051509677171941,1.0842021724855044e-19,0.034681446267945046,0.22000095917018528,1.1659848664305708e-13,-2.7980354162754164,-4.000000000332342,false,100,NaN,0.5,0.5,1.704261538,0.0
128,0.5,1.0,1.0,100.0,0.0,NaN,0.4050354875305031,-5.421010862427522e-20,0.05139188768499493,0.26662533304196623,0.0,-0.6141709000511434,-4.000000000000428,false,100,NaN,0.5,0.5,1.681181457,0.0
128,0.5,1.1,1.0,100.0,0.0,NaN,0.40487965470193543,NaN,0.06468867866286417,0.30550671567244847,0.0,1.0,-4.000000000000003,false,100,NaN,0.5,0.5,1.67793938,0.0
128,0.5,1.2,1.0,100.0,0.0,NaN,0.4046731082145526,NaN,0.076889532046399,0.3384592946295369,0.0,5.729012375987258,-4.0,false,100,NaN,0.5,0.5,1.673336885,0.0
128,0.5,1.3,1.0,100.0,0.0,NaN,0.4044054487255795,NaN,0.08871265367172315,0.3666993853962613,0.0,3.9999019314187865,-4.0,false,100,NaN,0.5,0.5,1.661938308,0.0
128,0.5,1.4,1.0,100.0,0.0,NaN,0.40406697201343245,5.421010862427522e-19,0.10038908380772765,0.3910837296520672,0.0,-3.999997727830962,-4.0,false,100,NaN,0.5,0.5,1.700998061,0.0
128,0.5,1.5,1.0,100.0,0.0,NaN,0.4036488976381464,NaN,0.111965931375679,0.412252472856142,0.0,4.000011132013528,-4.0,false,100,NaN,0.5,0.5,1.701356192,0.0
128,0.5,1.6,1.0,100.0,0.0,NaN,0.40314324448204936,2.168404344971009e-19,0.1234269128991668,0.4307071195227762,1.3769584878590112e-16,-4.00000004143516,-4.0,false,100,NaN,0.5,0.5,1.715404098,0.0
128,0.5,1.7,1.0,100.0,0.0,NaN,0.4025426416554374,2.168404344971009e-19,0.13474012677177732,0.4468510371438385,0.0,-3.9999999913523663,-4.0,false,100,NaN,0.5,0.5,1.726383341,0.0
128,0.5,1.8,1.0,100.0,0.0,NaN,0.40184021017822225,6.505213034913027e-19,0.1458741336461476,0.46101256148481595,0.0,-4.000000004716172,-4.0,false,100,NaN,0.5,0.5,1.738627592,0.0
128,0.5,1.9,1.0,100.0,0.0,NaN,0.4010295167376938,NaN,0.15680202953813926,0.4734608426061269,0.0,4.000000000021639,-4.0,false,100,NaN,0.5,0.5,1.77741472,0.0
128,0.5,2.0,1.0,100.0,0.0,NaN,0.40010456933203065,NaN,0.16750173828703913,0.4844179192317828,0.0,2.7999999999977647,-4.0,false,100,NaN,0.5,0.5,1.789277639,0.0
