L,U,V,t,β,δ,m,uS,vS,vd,Qm,QuS,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,0.5,1.2,1.0,100.0,0.0,NaN,NaN,-1.4113506334984696e-9,2.5849394142282115e-26,2.381798309944182,0.007825330744615222,1.1610096608304487e-5,5.744390334590817e-23,false,250,NaN,0.05,0.05,3.716293183,0.0
128,0.5,1.3,1.0,100.0,0.0,NaN,NaN,-9.845184308466356e-10,-3.877409121342317e-26,2.4349745691555102,0.009027957512453,7.475988684496899e-6,9.075894752775862e-23,false,250,NaN,0.05,0.05,3.688207566,0.0
128,0.5,1.4,1.0,100.0,0.0,NaN,NaN,-6.659088547743034e-10,4.52364397489937e-26,2.4523784241965716,0.010382203826542202,4.695509410712867e-6,9.864421613282734e-23,false,250,NaN,0.05,0.05,3.649184423,0.0
128,0.5,1.5,1.0,100.0,0.0,NaN,NaN,-4.3613398991105494e-10,0.0,2.423697926277588,0.011844579903441677,2.8703509236370815e-6,1.6509787229531077e-24,false,250,NaN,0.05,0.05,3.71829035,0.0
128,0.5,1.6,1.0,100.0,0.0,NaN,NaN,-2.7610253574435887e-10,-1.6155871338926322e-26,2.3397050679233797,0.013330696224667093,1.7036114840589268e-6,3.279840240039537e-23,false,250,NaN,0.05,0.05,3.697289029,0.0
128,0.5,1.7,1.0,100.0,0.0,NaN,NaN,-1.6858399558559775e-10,8.077935669463161e-27,2.1943462081643466,0.014706688827414993,9.790527451085143e-7,1.6141353921494108e-23,false,250,NaN,0.05,0.05,6.394666089,0.0
128,0.5,1.8,1.0,100.0,0.0,NaN,NaN,-9.901921879436479e-11,5.6545549686242126e-27,1.9870125370674216,0.01578914286337607,5.431383367826017e-7,1.2115629533547835e-23,false,250,NaN,0.05,0.05,7.775820661,0.0
128,0.5,1.9,1.0,100.0,0.0,NaN,NaN,-5.5774920691174505e-11,-2.4233807008389483e-27,1.7241731437317858,0.0163586314684272,2.898557282738636e-7,4.963028138114451e-24,false,250,NaN,0.05,0.05,3.771973402,0.0
128,0.5,2.0,1.0,100.0,0.0,NaN,NaN,-3.002000564316729e-11,-2.0194839173657902e-27,1.4194226766547566,0.016187620794028135,1.4822485853240077e-7,3.994808769611092e-24,false,250,NaN,0.05,0.05,3.656404106,0.0
128,0.5,2.1,1.0,100.0,0.0,NaN,NaN,-1.5375207008815728e-11,6.058451752097371e-28,1.0914555912043544,0.015075832213717888,7.231015378828687e-8,1.1918961384929274e-24,false,250,NaN,0.05,0.05,4.674702492,0.0
128,0.5,2.2,1.0,100.0,0.0,0.039606713835713,0.4049318791146693,-1.5334083171784076e-10,-3.2311742677852644e-27,0.9969990509901272,0.02400124915102886,6.885236924179299e-7,5.8403375662143465e-24,true,218,-1.2600160628166308,0.05,0.05,2.669258782,0.0
128,0.5,2.3,1.0,100.0,0.0,0.04539948098892071,0.4048307731576604,-1.0719110129682126e-8,5.169878828456423e-25,0.9900227598934191,0.13529266378464744,4.605228187536762e-5,1.1234583689524698e-21,true,168,-1.2436201600239123,0.05,0.05,3.642509931,0.0
128,0.5,2.4,1.0,100.0,0.0,0.05069320464228327,0.4047198094749641,-4.2178819435804695e-7,3.639594695233322e-23,0.6801283439424738,0.9746375609555047,0.0017379713028120975,7.807256943876064e-20,true,127,-1.2272335714304998,0.05,0.05,3.80826063,0.0
