L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.8,1.0,100.0,0.35,0.23469995503566687,-4.834170813650118e-9,0.0010786854943800168,8.493690525258628e-6,-0.0007867991038652827,0.001963478527378104,0.0005540170776764645,0.9776969984018643,0.03365131498692414,0.7112467921783405,true,57,-2.6887096525881176,0.2,0.2,200.917060156,2.110472355865855,1
256,0.0,0.8,1.0,100.0,0.4,0.17018761322199344,5.319467089037744e-12,0.0025012171468955713,5.881569580861243e-8,-0.0016077135506474276,0.0012540192408372342,9.71609048814869e-6,0.9802996643053603,0.0004069987113321021,0.6295841508375355,true,76,-3.039390862970169,0.2,0.2,261.864816109,2.6463792137940456,1
256,0.0,0.8,1.0,100.0,0.45,0.0923304419130503,1.2836620655320985e-11,0.008137870906258136,5.589355667046098e-9,-0.004597760953358445,0.003106164928518007,4.500463053914771e-6,0.9792670969102114,6.37230404638195e-5,0.5517311480706041,true,80,-3.469663037220943,0.2,0.2,269.951533554,3.2705894158822075,1
256,0.0,1.2,1.0,100.0,0.0,0.39454347381090454,-3.970720882678913e-6,5.946292567044365e-5,0.21152942746843484,0.0,0.08700547400342096,0.01869818440389169,0.28304319116875254,0.9598322790291824,0.021267647932560984,true,42,-1.4450747868482208,0.2,0.2,4.408444987,0.0,1
256,0.0,1.2,1.0,100.0,0.05,0.3926439339816698,-3.4729292958946e-6,5.355680735876726e-5,0.2037154891926536,-6.5173876075408366e-6,0.0966007284760595,0.016063070596822243,0.2505893599927523,0.9654646038455006,0.010005840228027366,true,43,-1.542164338495725,0.2,0.2,164.598708347,0.1941579693701121,1
256,0.0,1.2,1.0,100.0,0.1,0.3866652243633823,-2.308705266962363e-6,4.0184090089742924e-5,0.17975407951145217,-1.0108158379543847e-5,0.10776282499136425,0.01004076388266108,0.17747080282777733,0.9758015353433236,0.03273968800092409,true,46,-1.6422360521906971,0.2,0.2,188.661037477,0.3936800308710673,1
256,0.0,1.2,1.0,100.0,0.15,0.3756046018682121,-1.3125106556044486e-6,3.250795748687037e-5,0.13839100860715792,-1.314971486533062e-5,0.087171880742698,0.004979430186407691,0.12680537237125022,0.9218384591416218,0.04605318811159726,true,50,-1.7506375347203922,0.2,0.2,179.289212695,0.6069597703456966,1
256,0.0,1.2,1.0,100.0,0.2,0.35715583057490286,-4.407684745272311e-6,0.0002971180995300282,0.08135692206464282,-0.00017827942141779643,0.11153227739624239,0.0069623808568642365,0.8813500304688574,0.033879647658996426,0.4512119068430154,true,39,-1.8799574493522448,0.2,0.2,134.100962292,0.8520735234088266,1
256,0.0,1.2,1.0,100.0,0.25,0.3279790837490793,1.2469994029040699e-7,3.980939469834326e-5,0.025064537233991897,-3.206832773116307e-5,0.01868004752958452,0.0001820258001824355,0.05649005098431971,0.987095735902152,0.044948295473033376,true,77,-2.0526320462001593,0.2,0.2,264.62274324,1.1586644953753644,1
256,0.0,1.2,1.0,100.0,0.3,0.28699826907857073,9.545892150908397e-7,0.003209435454526578,0.0006493350259164669,-0.0026198578583436632,0.002897802177104225,0.001070795715445855,0.9790750866257519,0.3921130134545009,0.7963665006422072,true,78,-2.282793863331531,0.2,0.2,265.838662956,1.5419282483094074,1
256,0.0,1.2,1.0,100.0,0.35,0.23458883193948454,1.0796495938936168e-7,0.01908259991400294,1.0266376022294857e-5,-0.01363992089413316,0.013122322349401472,0.0002983807873457578,0.9849280085775097,0.023574937567417645,0.6790987379432095,true,71,-2.572979016708778,0.2,0.2,246.832867764,2.000228801460226,1
256,0.0,1.2,1.0,100.0,0.4,0.1698460102464602,1.161194607135485e-7,0.03449671489814572,5.925648733990513e-6,-0.021520441022441494,0.02421638716615382,0.0011723705929444432,0.9922539420618992,0.02731648278219847,0.591133154058246,true,57,-2.939264668180875,0.2,0.2,199.914722328,2.547852165204414,1
256,0.0,1.2,1.0,100.0,0.45,0.09190657705942464,8.406897120116774e-8,0.040497792870801685,4.950335836727878e-6,-0.022448926645927576,0.025674996884633705,0.004036882737915087,0.9714715391806877,0.03578108510352722,0.5171834412336442,true,50,-3.406789991928467,0.2,0.2,167.745210115,3.207717121880716,1
256,0.0,1.6,1.0,100.0,0.0,0.3843327529606188,-2.2077352984942178e-5,0.00027502087596726656,0.2569756855690057,-6.938893903907228e-18,0.16426796114932252,0.0631504802342339,0.7899677060215748,0.9030835093947198,0.026584559915718016,true,41,-1.4066541505741528,0.2,0.2,4.52638224,0.0,1
256,0.0,1.6,1.0,100.0,0.05,0.38221602499752216,-2.255012790203237e-5,0.0002890012403082391,0.25158719767808424,-2.925368559493491e-5,0.1822121327450521,0.06333887808029388,0.8155423342229439,0.9840735950474855,0.05195130144121253,true,41,-1.5092025261207065,0.2,0.2,156.588845301,0.2050975669264604,1
256,0.0,1.6,1.0,100.0,0.1,0.3757619461354529,-1.8765910164961208e-5,0.0002655905654367482,0.2350365513982069,-5.4182471808661425e-5,0.19255541305396306,0.04979119104331561,0.7082234103939291,0.9583227750640244,0.12297699709414527,true,43,-1.6129899371442344,0.2,0.2,177.896235322,0.41244364186388294,1
256,0.0,1.6,1.0,100.0,0.15,0.3646492722360456,-1.2964418565797331e-5,0.00023025682143342809,0.20585812350060897,-7.183765351265192e-5,0.1820297693928552,0.03077662314905167,0.5501117401152669,0.8978062611035287,0.16287396383359215,true,47,-1.720096698932111,0.2,0.2,167.291861838,0.6252951088899223,1
256,0.0,1.6,1.0,100.0,0.2,0.34807118656875696,-8.357576807366263e-6,0.0002581576238857453,0.16108524570325228,-0.00011217215081701232,0.15956670784489368,0.016027940316753607,0.5019054758869566,0.9475398514784406,0.2163692180193696,true,52,-1.8349683711906482,0.2,0.2,179.482348792,0.8500090897572007,1
256,0.0,1.6,1.0,100.0,0.25,0.32382879579321566,-1.295638604875693e-6,0.0007721396251054976,0.09682134816331767,-0.0004546400565259793,0.06616267938930331,0.0013342730565470127,0.9363580766155398,0.6852234111297262,0.5527404260743196,true,56,-1.9707262004241708,0.2,0.2,191.876920697,1.1042479145236146,1
256,0.0,1.6,1.0,100.0,0.3,0.2864170533838208,4.41161241557797e-5,0.03578865423026001,0.0022265586827844137,-0.02712376054150526,0.00512334159552541,0.018839290990263297,0.2354672386597617,0.9783308046352225,0.1685105084713867,true,94,-2.1617217372247084,0.2,0.2,320.12381084,1.431556436408494,1
256,0.0,1.6,1.0,100.0,0.35,0.2332159578210896,2.011249936953452e-5,0.05926211646717508,0.0005493844134002654,-0.03934823770237943,0.05750590939096467,0.03818082157636032,0.7678620015251492,0.9265360464362059,0.4421361083966485,true,47,-2.4533953282727357,0.2,0.2,162.640626003,1.8846293100563365,1
256,0.0,1.6,1.0,100.0,0.4,0.16820604133386013,1.1539092454715405e-5,0.07214113143630357,0.00028328735776626324,-0.043042410997437386,0.09571608242442409,0.07806332886036868,0.8458335908335946,0.8947322151718797,0.3735405573808692,true,38,-2.838569434611067,0.2,0.2,131.015372956,2.447430136492808,1
256,0.0,1.6,1.0,100.0,0.45,0.09073646400985656,3.2820897331031773e-6,0.0686567106757221,0.00010903462108036957,-0.037236825747380645,0.053110545875700854,0.07713485760003985,0.9555605284164714,0.5418012889844012,0.3836559067497691,true,37,-3.350224100440532,0.2,0.2,124.468461072,3.1504304829183623,1
