L,U,V,t,β,δ,uS,wd,QuS,Qwd,Converged,I,f,g,g0,ΔT,μ
256,10.0,6.0,1.0,100.0,0.0,0.24031505909440376,0.3887769094003519,0.22664754659862396,0.9601706253844489,true,131,-1.5216387983434516,0.05,0.05,6.650588364,0.0
256,10.0,6.4,1.0,100.0,0.0,0.2302179683507441,0.3910439232474901,0.2040230059152659,0.9757551910534179,true,130,-1.560329777665627,0.05,0.05,6.614761336,0.0
256,10.0,6.8,1.0,100.0,0.0,0.22078140357529846,0.3929151473160767,0.18584386428038835,0.9985611101875902,true,129,-1.6014649582815195,0.05,0.05,6.574476995,0.0
256,10.0,7.2,1.0,100.0,0.0,0.21196716499912954,0.3944713880722803,0.1626282290874692,0.9759746897837207,true,129,-1.6447491503156109,0.05,0.05,6.526948023,0.0
256,10.0,7.6,1.0,100.0,0.0,0.20373431546892753,0.39577506070138924,0.14373580146037623,0.9577923686657774,true,129,-1.6899288510617574,0.05,0.05,6.52086279,0.0
256,10.0,8.0,1.0,100.0,0.0,0.1960413947252435,0.39687471364747506,0.13491734165932412,0.9925657166137691,true,128,-1.7367859910336376,0.05,0.05,6.494841543,0.0
256,0.0,4.0,1.0,100.0,0.05,0.29861408597961325,0.3640440495775812,0.40282262651958334,0.9982033432531789,true,138,-1.4909906232783292,0.05,0.05,318.831147217,0.2238217352511583
256,0.0,4.4,1.0,100.0,0.05,0.2850593720754857,0.37086603033115784,0.37093213945238457,0.9781846524742344,true,136,-1.5115238079785347,0.05,0.05,313.991794402,0.22480107606093885
256,0.0,4.8,1.0,100.0,0.05,0.2721520070246698,0.37627833610978023,0.34003222390233123,0.9842519284786189,true,134,-1.5368942873952625,0.05,0.05,308.33513816,0.22580930998110643
256,0.0,5.2,1.0,100.0,0.05,0.2599473440223171,0.38061054522556903,0.2977774875765338,0.9615474139136326,true,133,-1.5665061914725542,0.05,0.05,309.861625709,0.22690558886078935
256,0.0,5.6,1.0,100.0,0.05,0.24846609858107566,0.38410822947615897,0.2626420132468832,0.9550397696244106,true,132,-1.5998379448794553,0.05,0.05,311.78915438,0.22812924898151218
256,0.0,6.0,1.0,100.0,0.05,0.2377018938317522,0.38695646971747844,0.23415065094839482,0.9606480501617165,true,131,-1.6364244851760181,0.05,0.05,312.259668325,0.22948466411004567
256,0.0,6.4,1.0,100.0,0.05,0.22763207979944997,0.3892952135255519,0.21128826062177808,0.9755314510945245,true,130,-1.6758718859391868,0.05,0.05,310.921079169,0.23098496404314084
256,0.0,6.8,1.0,100.0,0.05,0.21822320588217495,0.3912311698714461,0.19297857033806487,0.9977657074052848,true,129,-1.717830856412062,0.05,0.05,307.36174048,0.23262029194501402
256,0.0,7.2,1.0,100.0,0.05,0.20943637144511779,0.3928461542853214,0.169359607376518,0.9747608613571712,true,129,-1.762013361756332,0.05,0.05,305.861602789,0.23440294300228925
256,0.0,7.6,1.0,100.0,0.05,0.20123002518699468,0.3942034110087551,0.15014574750438214,0.9562604916681927,true,129,-1.8081510989784222,0.05,0.05,304.439867117,0.23630509386871557
256,0.0,8.0,1.0,100.0,0.05,0.19356241335331148,0.39535213622791066,0.14139017850584024,0.9906945519808641,true,128,-1.8560137279650948,0.05,0.05,302.595709633,0.23830345456953358
256,5.0,4.0,1.0,100.0,0.05,0.29861408597961325,0.3640440495775812,0.40282262651958334,0.9982033432531789,true,138,-1.4909906232783292,0.05,0.05,310.428441851,0.2238217352511583
256,5.0,4.4,1.0,100.0,0.05,0.2850593720754857,0.37086603033115784,0.37093213945238457,0.9781846524742344,true,136,-1.5115238079785347,0.05,0.05,285.872317111,0.22480107606093885
256,5.0,4.8,1.0,100.0,0.05,0.2721520070246698,0.37627833610978023,0.34003222390233123,0.9842519284786189,true,134,-1.5368942873952625,0.05,0.05,278.238501664,0.22580930998110643
256,5.0,5.2,1.0,100.0,0.05,0.2599473440223171,0.38061054522556903,0.2977774875765338,0.9615474139136326,true,133,-1.5665061914725542,0.05,0.05,281.252332745,0.22690558886078935
256,5.0,5.6,1.0,100.0,0.05,0.24846609858107566,0.38410822947615897,0.2626420132468832,0.9550397696244106,true,132,-1.5998379448794553,0.05,0.05,273.858454987,0.22812924898151218
256,5.0,6.0,1.0,100.0,0.05,0.2377018938317522,0.38695646971747844,0.23415065094839482,0.9606480501617165,true,131,-1.6364244851760181,0.05,0.05,277.39081531,0.22948466411004567
256,5.0,6.4,1.0,100.0,0.05,0.22763207979944997,0.3892952135255519,0.21128826062177808,0.9755314510945245,true,130,-1.6758718859391868,0.05,0.05,274.744384443,0.23098496404314084
256,5.0,6.8,1.0,100.0,0.05,0.21822320588217495,0.3912311698714461,0.19297857033806487,0.9977657074052848,true,129,-1.717830856412062,0.05,0.05,267.492202939,0.23262029194501402
256,5.0,7.2,1.0,100.0,0.05,0.20943637144511779,0.3928461542853214,0.169359607376518,0.9747608613571712,true,129,-1.762013361756332,0.05,0.05,269.58720621,0.23440294300228925
256,5.0,7.6,1.0,100.0,0.05,0.20123002518699468,0.3942034110087551,0.15014574750438214,0.9562604916681927,true,129,-1.8081510989784222,0.05,0.05,267.926267247,0.23630509386871557
256,5.0,8.0,1.0,100.0,0.05,0.19356241335331148,0.39535213622791066,0.14139017850584024,0.9906945519808641,true,128,-1.8560137279650948,0.05,0.05,264.129521405,0.23830345456953358
256,10.0,4.0,1.0,100.0,0.05,0.29861408597961325,0.3640440495775812,0.40282262651958334,0.9982033432531789,true,138,-1.4909906232783292,0.05,0.05,288.270230436,0.2238217352511583
256,10.0,4.4,1.0,100.0,0.05,0.2850593720754857,0.37086603033115784,0.37093213945238457,0.9781846524742344,true,136,-1.5115238079785347,0.05,0.05,283.596524042,0.22480107606093885
256,10.0,4.8,1.0,100.0,0.05,0.2721520070246698,0.37627833610978023,0.34003222390233123,0.9842519284786189,true,134,-1.5368942873952625,0.05,0.05,277.228119592,0.22580930998110643
256,10.0,5.2,1.0,100.0,0.05,0.2599473440223171,0.38061054522556903,0.2977774875765338,0.9615474139136326,true,133,-1.5665061914725542,0.05,0.05,280.998690109,0.22690558886078935
256,10.0,5.6,1.0,100.0,0.05,0.24846609858107566,0.38410822947615897,0.2626420132468832,0.9550397696244106,true,132,-1.5998379448794553,0.05,0.05,273.908144508,0.22812924898151218
256,10.0,6.0,1.0,100.0,0.05,0.2377018938317522,0.38695646971747844,0.23415065094839482,0.9606480501617165,true,131,-1.6364244851760181,0.05,0.05,277.261259551,0.22948466411004567
256,10.0,6.4,1.0,100.0,0.05,0.22763207979944997,0.3892952135255519,0.21128826062177808,0.9755314510945245,true,130,-1.6758718859391868,0.05,0.05,274.709973652,0.23098496404314084
256,10.0,6.8,1.0,100.0,0.05,0.21822320588217495,0.3912311698714461,0.19297857033806487,0.9977657074052848,true,129,-1.717830856412062,0.05,0.05,267.282573562,0.23262029194501402
256,10.0,7.2,1.0,100.0,0.05,0.20943637144511779,0.3928461542853214,0.169359607376518,0.9747608613571712,true,129,-1.762013361756332,0.05,0.05,269.5035097,0.23440294300228925
256,10.0,7.6,1.0,100.0,0.05,0.20123002518699468,0.3942034110087551,0.15014574750438214,0.9562604916681927,true,129,-1.8081510989784222,0.05,0.05,267.921584145,0.23630509386871557
256,10.0,8.0,1.0,100.0,0.05,0.19356241335331148,0.39535213622791066,0.14139017850584024,0.9906945519808641,true,128,-1.8560137279650948,0.05,0.05,264.195615687,0.23830345456953358
256,0.0,4.0,1.0,100.0,0.1,0.29065352548853907,0.3568389207977194,0.4188116429282296,0.9771579455191137,true,139,-1.6064342251306474,0.05,0.05,300.987630036,0.45400045848734877
256,0.0,4.4,1.0,100.0,0.1,0.2770938762292251,0.3640957793439237,0.40197985531653657,0.9976897180009603,true,136,-1.6281926623088117,0.05,0.05,294.163241103,0.4572712037054784
256,0.0,4.8,1.0,100.0,0.1,0.2642158091749113,0.36987211312465607,0.36855773463750907,0.9973480666188861,true,134,-1.6548278775108214,0.05,0.05,290.61086087,0.4606418734493703
256,0.0,5.2,1.0,100.0,0.1,0.25206565324624475,0.3745158204516244,0.32357258081217033,0.9695174918394889,true,133,-1.6857772111485305,0.05,0.05,287.064172286,0.4642381653456583
256,0.0,5.6,1.0,100.0,0.1,0.2406550955578184,0.3782849950468049,0.2865823810690449,0.9592686541105566,true,132,-1.720514259914379,0.05,0.05,285.550134132,0.46809680364170203
256,0.0,6.0,1.0,100.0,0.1,0.2299715401707148,0.3813729946353495,0.2568376457122157,0.9620380746058199,true,131,-1.758586937440394,0.05,0.05,282.970730842,0.47224724585513006
256,0.0,6.4,1.0,100.0,0.1,0.2199873005163952,0.3839256873984578,0.23316471589990284,0.9746891648048095,true,130,-1.7995973516675177,0.05,0.05,281.482274995,0.47669575221287847
256,0.0,6.8,1.0,100.0,0.1,0.21066568775385885,0.38605403427717605,0.21437296209247947,0.9951039056929067,true,129,-1.8431976092357663,0.05,0.05,278.002761763,0.48143463294345096
256,0.0,7.2,1.0,100.0,0.1,0.20196533583142204,0.38784313234485857,0.18947614214809283,0.9707767953623936,true,129,-1.8891040006927766,0.05,0.05,279.898094389,0.4864803956055429
256,0.0,7.6,1.0,100.0,0.1,0.1938432124668711,0.3893587619604187,0.1692390773063157,0.9512716353132777,true,129,-1.9370345882369733,0.05,0.05,278.779677091,0.49178232247320913
256,0.0,8.0,1.0,100.0,0.1,0.18625652730776787,0.39065218490996606,0.16061561012647996,0.984627548714756,true,128,-1.9867422895299507,0.05,0.05,277.29053647,0.4972884876790066
256,5.0,4.0,1.0,100.0,0.1,0.29065352548853907,0.3568389207977194,0.4188116429282296,0.9771579455191137,true,139,-1.6064342251306474,0.05,0.05,300.848284486,0.45400045848734877
256,5.0,4.4,1.0,100.0,0.1,0.2770938762292251,0.3640957793439237,0.40197985531653657,0.9976897180009603,true,136,-1.6281926623088117,0.05,0.05,294.222985822,0.4572712037054784
256,5.0,4.8,1.0,100.0,0.1,0.2642158091749113,0.36987211312465607,0.36855773463750907,0.9973480666188861,true,134,-1.6548278775108214,0.05,0.05,290.786708742,0.4606418734493703
256,5.0,5.2,1.0,100.0,0.1,0.25206565324624475,0.3745158204516244,0.32357258081217033,0.9695174918394889,true,133,-1.6857772111485305,0.05,0.05,287.205869979,0.4642381653456583
256,5.0,5.6,1.0,100.0,0.1,0.2406550955578184,0.3782849950468049,0.2865823810690449,0.9592686541105566,true,132,-1.720514259914379,0.05,0.05,285.629348848,0.46809680364170203
256,5.0,6.0,1.0,100.0,0.1,0.2299715401707148,0.3813729946353495,0.2568376457122157,0.9620380746058199,true,131,-1.758586937440394,0.05,0.05,283.177862285,0.47224724585513006
