L,U,V,t,β,δ,m,uS,ud,vS,Qm,QuS,Qud,QvS,I,f,g,g0,ΔT,μ
30,2.5,2.0,1.0,100.0,0.1,0.0053455549704596065,-0.3954869580119183,0.002802448891257878,-1.4497075438056064e-5,0.9581946681975149,0.40870998578501627,0.8831453305371467,0.013115070275758771,26,-2.8571500654359845,0.2,0.2,0.504448236,0.5606084003090832
30,3.0,1.0,1.0,100.0,0.1,0.013361251026665204,-0.39536432895774437,0.00010385232884276284,-2.489919235329064e-6,0.9609721703168694,0.09433337209340253,0.06970828590053504,0.0035144872866144125,34,-2.3400664040123353,0.2,0.2,0.717415525,0.4814347373501379
30,3.0,1.2,1.0,100.0,0.1,0.01203672263450353,-0.3953943745016501,0.00019451023810197694,-2.959604710891236e-6,0.9726913235511038,0.10886715001454661,0.1097490194211701,0.003678092557480405,33,-2.4431135196845224,0.2,0.2,0.671879183,0.49670447826983727
30,3.0,1.4,1.0,100.0,0.1,0.011009759556137507,-0.39541573120942236,0.0003494374499290171,-3.505677169661431e-6,0.9877174211216807,0.12820810465770105,0.17109431413010937,0.003934220017316027,32,-2.5462595740513914,0.2,0.2,0.638417692,0.5121455605938683
30,3.0,1.6,1.0,100.0,0.1,0.009540793452059023,-0.3954424448265148,0.0005197126308218394,-3.1283715362781775e-6,0.9408205810708052,0.12509740334447628,0.22612070999616357,0.0032281252331437015,32,-2.6494007995516555,0.2,0.2,0.626497463,0.5275162153917223
30,3.0,1.8,1.0,100.0,0.1,0.008933847260643933,-0.3954522472451527,0.0008817758236234344,-3.7101324840902344e-6,0.9606089741356311,0.1512605808812295,0.3441656017491281,0.0035675210454733514,31,-2.7527965787003956,0.2,0.2,0.615637839,0.5433875630887816
30,3.0,2.0,1.0,100.0,0.1,0.008468478551188426,-0.3954576334377454,0.001508784115233172,-4.433318199781557e-6,0.9859477530764278,0.185390509395722,0.5204017983063054,0.004013364742542214,30,-2.85652108893321,0.2,0.2,0.589657885,0.5598170641582866
30,3.5,1.0,1.0,100.0,0.1,0.02844695949244064,-0.39482462695441684,4.426422466816917e-5,-6.637922995572556e-7,0.9796228711001976,0.07736711674077856,0.02962474774427452,0.0009378801562680934,39,-2.3454745000822177,0.2,0.2,0.79137925,0.4923025968598495
30,3.5,1.2,1.0,100.0,0.1,0.02348162786714039,-0.39504704320062667,7.322664792097732e-5,-5.805168552965491e-7,0.9771424367830974,0.06905511664638819,0.04117140996022608,0.0007219345700486074,39,-2.4466010399517155,0.2,0.2,0.780663557,0.5039485890441356
30,3.5,1.4,1.0,100.0,0.1,0.020256254033512906,-0.3951690388082829,0.0001359100228650508,-6.609433784108953e-7,0.992933159478352,0.06998856668094522,0.06636566965965213,0.0007421341754747387,38,-2.5487348953781925,0.2,0.2,0.751136727,0.5174578273815007
