L,U,V,t,β,δ,uS,ud,QuS,Qud,Converged,I,f,g,g0,ΔT,μ
128,0.0,4.0,1.0,100.0,0.01,0.4046270341015342,-5.551115123125783e-17,0.9743440505532996,1.1749443220864015e-13,true,126,-0.8102329552367677,0.05,0.05,39.612609281,0.006498808642108227
128,0.0,4.1,1.0,100.0,0.01,0.40449711690647727,0.0,0.9598509243380349,2.929590399668934e-15,true,126,-0.8100677804946406,0.05,0.05,39.552450767,0.0059295032042106744
128,0.0,4.2,1.0,100.0,0.01,0.4043192363452162,-2.7755575615628914e-17,0.9885835626491923,5.5380071555213987e-14,true,125,-0.8098275941735695,0.05,0.05,39.245656064,0.005356585392737309
128,0.0,4.3,1.0,100.0,0.01,0.4040653049763337,0.0,0.9533885396784125,3.8626749117693535e-15,true,125,-0.8094643423933804,0.05,0.05,39.391392321,0.004777515190224266
128,0.0,4.4,1.0,100.0,0.01,0.40369009566320796,-5.551115123125783e-17,0.9989780908288282,1.136215164527542e-13,true,123,-0.8088987104853881,0.05,0.05,39.140408253,0.00419852049733379
128,0.0,4.5,1.0,100.0,0.01,0.4031024462819114,1.1102230246251565e-16,0.9483868072475143,2.287489699650057e-13,true,122,-0.8079669828507995,0.05,0.05,38.87446017,0.0036185856331028914
128,0.0,4.6,1.0,100.0,0.01,0.4021454881198985,1.3877787807814457e-17,0.9771344479118094,2.919880912958153e-14,true,118,-0.8063799519371094,0.05,0.05,37.210119289,0.0030537882426233606
128,0.0,4.7,1.0,100.0,0.01,0.4005284224965045,-7.299716386910404e-15,0.9671039978930152,1.4941988262164565e-11,true,112,-0.8035869084910792,0.05,0.05,35.312788461,0.002522241436852009
128,0.0,4.8,1.0,100.0,0.01,0.3978686551496454,2.1871739142031998e-10,0.9790501367128446,4.459949895599514e-7,true,102,-0.7988357118347003,0.05,0.05,32.405640499,0.0020611601301980405
128,0.0,4.9,1.0,100.0,0.01,0.3939022975894318,-6.327587780546873e-7,0.9166023889388697,0.0012864973726742803,true,90,-0.7915617808138617,0.05,0.05,28.547082713,0.0017001145160103369
