L,U,V,t,β,δ,m,uS,vx,vy,Qm,QuS,Qvx,Qvy,Converged,I,f,g,g0,ΔT,μ
128,0.0,3.6,1.0,100.0,0.0,0.0,0.3581926038734655,-9.563917581276042e-20,NaN,3.155443620884047e-28,0.0,2.550378021681328e-16,767.0952115361063,false,100,NaN,0.5,0.5,2.651141826,0.0
128,0.0,3.7,1.0,100.0,0.0,0.0,0.35331690310356423,1.2948343786166235e-19,NaN,3.155443620884047e-28,0.0,5.884627266688805e-17,792.7366129754357,false,100,NaN,0.5,0.5,1.227760462,0.0
128,0.0,3.8,1.0,100.0,0.0,0.0,0.3484147524228761,NaN,-3.4416846711104267e-19,3.155443620884047e-28,0.0,816.4619807206777,1.1524966339287496e-16,false,100,NaN,0.5,0.5,2.346913008,0.0
128,0.0,3.9,1.0,100.0,0.0,0.0,0.3435089768550885,6.406802307205875e-19,NaN,3.155443620884047e-28,0.0,1.7084806152488255e-15,838.4171906514197,false,100,NaN,0.5,0.5,1.64761418,0.0
128,0.0,4.0,1.0,100.0,0.0,0.0,0.3386187605950857,1.330719620121064e-19,NaN,3.155443620884047e-28,1.1102230246251565e-13,2.0756344579443932e-16,858.7424604714238,false,100,NaN,0.5,0.5,1.489807598,0.0
128,0.5,0.0,1.0,100.0,0.0,0.0012379093145031767,0.40523042402125686,0.0,0.0,0.8967438423698746,0.00035243725182709795,5.9604644775390625e-6,5.9604644775390625e-6,true,26,-1.621228508634671,0.5,0.5,0.935426095,0.0
128,0.5,0.1,1.0,100.0,0.0,0.0014133500632817647,0.4052296966323161,-1.6669688045995378e-11,-1.6669688045995378e-11,0.9732621641420788,0.00042965156221708156,3.092296816220944e-7,3.092296816220944e-7,true,26,-1.6048073002440681,0.5,0.5,0.345496538,0.0
128,0.5,0.2,1.0,100.0,0.0,0.0014168767592163188,0.4052289702411721,-3.520263689845737e-13,-3.520263689845738e-13,0.9241913990053344,0.00039793420647527,3.576563114658606e-9,3.5765631146586062e-9,true,27,-1.5883862093897716,0.5,0.5,0.408226786,0.0
128,0.5,0.3,1.0,100.0,0.0,0.0014423443592906757,0.40522818266295313,-1.8755569791897324e-15,-1.8755569791897324e-15,0.8878566614949415,0.0003821694962713451,1.3808114943575212e-11,1.3808114943575212e-11,true,28,-1.5719651723870687,0.5,0.5,0.346596574,0.0
128,0.5,0.4,1.0,100.0,0.0,0.0016815393785871925,0.40522725787129477,-7.296714487460907e-18,-7.296714487460907e-18,0.9730997667026049,0.00048421775489249086,4.350882582290795e-14,4.350882582290796e-14,true,28,-1.5555441263092533,0.5,0.5,0.303668634,0.0
128,0.5,0.5,1.0,100.0,0.0,0.0017599649541641463,0.40522632136682524,-6.943330589458234e-22,-6.94333058945822e-22,0.9525750683924737,0.0004905672996713406,3.556630448419555e-18,3.556630448419548e-18,true,29,-1.5391232104141195,0.5,0.5,0.317946584,0.0
128,0.5,0.6,1.0,100.0,0.0,0.0018753572162017143,0.4052252943422493,-5.287135672467786e-28,-5.287135672467763e-28,0.9441110703105335,0.0005136664675831071,2.41177537587051e-24,2.4117753758704996e-24,true,30,-1.5227023593160802,0.5,0.5,0.331664246,0.0
128,0.5,0.7,1.0,100.0,0.0,0.002035613785051929,0.4052241616457981,-2.3976272050440054e-40,-2.3976272050439695e-40,0.9470668682492389,0.000555396641788164,9.975599513899507e-37,9.975599513899359e-37,true,31,-1.506281576757208,0.5,0.5,0.34741832,0.0
128,0.5,0.8,1.0,100.0,0.0,0.0022520067104049354,0.40522290242917564,3.899338321542246e-49,3.899338321542088e-49,0.9609601994567674,0.0006196891442211694,1.5049550131596535e-45,1.5049550131595928e-45,true,32,-1.489860865720065,0.5,0.5,0.349400904,0.0
128,0.5,0.9,1.0,100.0,0.0,0.0025404653167688815,0.40522148683203923,-2.199693731648575e-34,-2.1996937316485785e-34,0.9853015328669121,0.000712940020797248,7.973912541005885e-31,7.9739125410059e-31,true,33,-1.4734402279971826,0.5,0.5,1.125948669,0.0
128,0.5,1.0,1.0,100.0,0.0,0.0027067553780010835,0.40522002044569605,-1.5361589584524371e-28,-1.5361589584524335e-28,0.9429416361984907,0.0007229166038014156,5.279746873079852e-25,5.279746873079839e-25,true,35,-1.4570197539832617,0.5,0.5,0.49314569,0.0
128,0.5,1.1,1.0,100.0,0.0,0.0032028925954408808,0.40521817229616064,-3.711303697114847e-23,-3.711303697114852e-23,0.9894292999415871,0.0008938851094875133,1.2184383529657361e-19,1.218438352965738e-19,true,36,-1.4405992717940228,0.5,0.5,0.467416079,0.0
128,0.5,1.2,1.0,100.0,0.0,0.0036384002571942745,0.4052161722400873,-1.1642386746451777e-19,-1.16423867464518e-19,0.9785378723627635,0.001000025133590654,3.672529060911805e-16,3.6725290609118127e-16,true,38,-1.4241789592927871,0.5,0.5,0.552966923,0.0
128,0.5,1.3,1.0,100.0,0.0,0.004285730998101226,0.4052137342481404,-9.597886689433561e-17,-9.597886689433559e-17,0.9810138339822627,0.0011770966191759769,2.9230450067002836e-13,2.923045006700283e-13,true,40,-1.4077587253146442,0.5,0.5,0.447326978,0.0
128,0.5,1.4,1.0,100.0,0.0,0.005229814843831237,0.40521060716275825,-4.027775777308201e-14,-4.027775777308196e-14,0.9886665758561206,0.0014450226406559352,1.189043861628849e-10,1.1890438616288475e-10,true,42,-1.3913385676047225,0.5,0.5,0.45360812,0.0
