L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
128,4.0,0.4,1.0,100.0,0.0,0.40522758588806085,0.5961027495134941,true,11,-0.8107730347542247,0.5,0.5,0.071379001,0.0,0
128,4.0,0.5,1.0,100.0,0.0,0.40522668520886407,0.5960857126457997,true,11,-0.810774508907473,0.5,0.5,0.071753133,0.0,0
128,4.0,0.6,1.0,100.0,0.0,0.4052257125033503,0.5960664319422104,true,11,-0.8107760222024092,0.5,0.5,0.071857942,0.0,0
128,4.0,0.7,1.0,100.0,0.0,0.4052246601152055,0.5960445829411576,true,11,-0.8107775742688887,0.5,0.5,0.072449093,0.0,0
128,4.0,0.8,1.0,100.0,0.0,0.40522351937776047,0.5960197877330486,true,11,-0.8107791642855815,0.5,0.5,0.071160782,0.0,0
128,4.0,0.9,1.0,100.0,0.0,0.4052222804565214,0.5959916050566338,true,11,-0.8107807908595159,0.5,0.5,0.071175384,0.0,0
128,4.0,1.0,1.0,100.0,0.0,0.40522093216363364,0.5959595183653299,true,11,-0.8107824518764642,0.5,0.5,0.077871755,0.0,0
128,4.0,1.1,1.0,100.0,0.0,0.4052194617386389,0.5959229213945427,true,11,-0.8107841443150067,0.5,0.5,0.072581604,0.0,0
128,4.0,1.2,1.0,100.0,0.0,0.40521785458861853,0.5958811006606668,true,11,-0.8107858640153021,0.5,0.5,0.072526399,0.0,0
128,4.0,1.3,1.0,100.0,0.0,0.4052160939792101,0.5958332141589029,true,11,-0.8107876053912537,0.5,0.5,0.071252089,0.0,0
128,4.0,1.4,1.0,100.0,0.0,0.4052141606659613,0.5957782653487342,true,11,-0.8107893610717688,0.5,0.5,0.074901202,0.0,0
128,4.0,1.5,1.0,100.0,0.0,0.4052120324529087,0.5957150712545545,true,11,-0.8107911214529823,0.5,0.5,0.071286893,0.0,0
128,4.0,1.6,1.0,100.0,0.0,0.4052096836619635,0.5956422231885306,true,11,-0.8107928741383426,0.5,0.5,0.071382101,0.0,0
128,4.0,1.7,1.0,100.0,0.0,0.40520708449241916,0.5955580381682424,true,11,-0.8107946032369977,0.5,0.5,0.071285993,0.0,0
128,4.0,1.8,1.0,100.0,0.0,0.4052042002443347,0.5954604985219936,true,11,-0.8107962884824506,0.5,0.5,0.072677512,0.0,0
128,4.0,1.9,1.0,100.0,0.0,0.40520099037223994,0.5953471764025275,true,11,-0.8107979041222684,0.5,0.5,0.071781135,0.0,0
128,4.0,2.0,1.0,100.0,0.0,0.4051974073259115,0.5952151388668447,true,11,-0.8107994175147083,0.5,0.5,0.071680726,0.0,0
128,4.0,2.1,1.0,100.0,0.0,0.4051933951219652,0.595060827728644,true,11,-0.8108007873480905,0.5,0.5,0.074134636,0.0,0
128,4.0,2.2,1.0,100.0,0.0,0.4051888875724009,0.5948799063701937,true,11,-0.810801961371468,0.5,0.5,0.071691528,0.0,0
