x,y1,y2,y3,y4
-2.51,0.0,2.0,4.0,6.419052913909544
-2.5,0.0,2.0,4.0,6.4264693132812605
-2.49,0.0,2.0,4.0,6.433746587844215
-2.48,0.0,2.0,4.0,6.440888692656954
-2.47,0.0,2.0,4.0,6.4478991931594
-2.46,0.0,2.0,4.0,6.454781307874188
-2.45,0.0,2.0,4.0,6.461537945460648
-2.44,0.0,2.0,4.0,6.468171737008601
-2.43,0.0,2.0,4.0,6.474685064299167
-2.42,0.0,2.0,4.0,6.4810800846322785
-2.41,0.0,2.0,4.0,6.487358752718057
-2.4,0.0,2.0,4.0,6.493522840046463
-2.39,0.0,2.0,4.002518030352347,6.499573952082265
-2.38,0.0,2.0,4.003843301193019,6.505513543577404
-2.37,0.0,2.0,4.005076045867893,6.511342932247561
-2.36,0.0,2.0,4.006315639942165,6.517063311022441
-2.35,0.0,2.0,4.007602242829,6.522675759048279
-2.34,0.0,2.0,4.0089587740377555,6.528181251595261
-2.33,0.0,2.0,4.010401237051323,6.533580669000933
-2.32,0.0,2.0,4.011942375415392,6.53887480476251
-2.31,0.0,2.0,4.013593253181152,6.544064372875653
-2.3,0.0,2.0,4.015364031487472,6.549150014504306
-2.29,0.0,2.0,4.017264385211604,6.554132304055161
-2.28,0.0,2.0,4.0193037404656895,6.559011754720868
-2.27,0.0,2.0,4.021491415245618,6.563788823548104
-2.26,0.0,2.0,4.023836704033251,6.5684639160796525
-2.25,0.0,2.0,4.026348927983628,6.573037390613727
-2.24,0.0,2.0,4.029037462807751,6.57750956211861
-2.23,0.0,2.0,4.0319117514442055,6.581880705836233
-2.22,0.0,2.0,4.034981305835897,6.586151060604474
-2.21,0.0,2.0,4.038255700526945,6.590320831924554
-2.2,0.0,2.0,4.0417445598393815,6.594390194797008
-2.19,0.0,2.0,4.045457539802918,6.5983592963471125
-2.18,0.0,2.0,4.049404305643023,6.602228258258425
-2.17,0.0,2.0,4.053594505397836,6.605997179031087
-2.16,0.0,2.0,4.0580377400832495,6.609666136079817
-2.15,0.0,2.0,4.062743530728192,6.613235187684959
-2.14,0.0,2.0,4.067721282540184,6.616704374808636
-2.13,0.0,2.0,4.07298024642315,6.6200737227867865
-2.12,0.0,2.0,4.078529478047673,6.623343242906849
-2.11,0.0,2.0,4.084377794663402,6.626512933879878
-2.1,0.0,2.0,4.090533729840868,6.629582783215033
-2.09,0.0,2.0087661553691856,4.097005486333232,6.632552768503618
-2.08,0.0,2.012904251431452,4.103800887255667,6.635422858619173
-2.07,0.0,2.0164434793865724,4.110927325790285,6.638193014839532
-2.06,0.0,2.019746263124357,4.118391713636503,6.640863191896159
-2.05,0.0,2.0229492376536506,4.126200428440149,6.64343333895567
-2.04,0.0,2.02612123276013,4.134359260448624,6.645903400537907
-2.03,0.0,2.029302740105894,4.1428733586538184,6.648273317374627
-2.02,0.0,2.032520087294724,4.151747176698697,6.65054302721242
-2.01,0.0,2.0357916504811207,4.1609844188373195,6.652712465563224
-2.0,0.0,2.0391309540675575,4.170587986251127,6.65478156640545
-1.99,0.0,2.0425483659802874,4.1805599240364755,6.656750262838478
-1.98,0.0,2.0460520906405533,4.190901369189284,6.658618487693059
-1.97,0.0,2.049648782207207,4.201612499922148,6.660386174099908
-1.96,0.0,2.053343939475353,4.212692486657055,6.6620532560185755
-1.95,0.0,2.0571421688149476,4.22413944504285,6.663619668728517
-1.94,0.0,2.0610473640049474,4.235950391350578,6.665085349284069
-1.93,0.0,2.0650628318902973,4.248121200601631,6.666450236934929
-1.92,0.0,2.069191381668369,4.260646567783186,6.667714273513543
-1.91,0.0,2.0734353891388753,4.273519972502475,6.66887740379071
-1.9,0.0,2.0777968433451055,4.2867336474260425,6.6699395758005675
-1.89,0.0,2.082277380601522,4.3002785508421,6.670900741135986
-1.88,0.0,2.0868783093450585,4.314144343673372,6.671760855215353
-1.87,0.0,2.0916006282253505,4.328319371254438,6.6725198775215375
-1.86,0.0,2.096445039163563,4.342790650171433,6.673177771813821
-1.85,0.0,2.1014119566405602,4.3575438604430765,6.673734506313403
-1.84,0.0,2.1065015141485954,4.372563343300513,6.674190053863085
-1.83,0.0,2.1117135685096016,4.387832104799202,6.674544392061579
-1.82,0.0,2.1170477025970844,4.403331825469396,6.674797503372862
-1.81,0.0,2.122503226877667,4.41904287618258,6.674949375210904
-1.8,0.0,2.1280791800990553,4.434944340379724,6.675
-1.79,0.0,2.133774329384464,4.4510140427736,6.674949375210904
-1.78,0.0,2.1395871699430966,4.467228584601797,6.674797503372862
-1.77,0.0,2.145515924567675,4.483563385469694,6.674544392061579
-1.76,0.0,2.151558543060122,4.499992731783772,6.674190053863085
-1.75,0.0,2.1577127017030944,4.5164898317354405,6.673734506313403
-1.74,0.0,2.163975802876507,4.533026876754383,6.673177771813821
-1.73,0.0,2.170344974903268,4.549575109308499,6.6725198775215375
-1.72,0.0,2.1768170721963185,4.566104896885158,6.671760855215353
-1.71,0.0,2.1833886757690233,4.582585811946062,6.670900741135986
-1.7,0.0,2.1900560941625704,4.5989867176057375,6.6699395758005675
