L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ
256,5.0,7.2,1.0,100.0,0.05,0.27605864494847343,-3.177916375884937e-7,0.0,0.0,0.8081709524749847,0.0006396058759964808,0.0,0.0,true,23,-0.5674417209731208,0.025,0.05,67.628459439,0.0029336468137622176
256,5.0,7.6,1.0,100.0,0.05,0.26027689665789355,NaN,0.0,0.0,1.6653345369377348e-12,645.4221775039617,0.0,0.0,false,800,NaN,0.025,0.05,2290.615574897,0.0075355353249703305
256,5.0,8.0,1.0,100.0,0.05,0.24740747449803596,NaN,0.0,0.0,3.885780586188048e-13,666.210847682461,0.0,0.0,false,800,NaN,0.025,0.05,2323.434083643,0.00770894362216478
256,10.0,4.0,1.0,100.0,0.05,0.40272966821072975,0.0,0.0,0.0,0.9728376394537719,1.5090155250102736e-15,0.328458614616758,0.328458614616758,true,126,-0.9829210496872541,0.05,0.05,441.324754474,0.03632028776970209
256,10.0,4.4,1.0,100.0,0.05,0.40184064579079665,2.7755575615628914e-17,0.0,0.0,0.9515695582903438,5.624146960965997e-14,0.3639430632872665,0.3639430632872665,true,124,-0.910702039292193,0.05,0.05,432.247805645,0.022763697025195866
256,10.0,4.8,1.0,100.0,0.05,0.39654748292743525,-9.049705429475807e-14,0.0,0.0,0.9195697075710108,1.8503279005970153e-10,0.9644616106539327,0.9644616106539327,true,105,-0.8402652745318886,0.05,0.05,367.938281076,0.011028208986189355
256,10.0,5.2,1.0,100.0,0.05,0.3758646734599735,9.243564247363167e-12,0.0,0.0,0.8557720775684841,1.8718303335495397e-8,0.0,0.0,true,15,-0.7773892453508585,0.025,0.05,42.906441882,0.00582879719186575
256,10.0,5.6,1.0,100.0,0.05,0.3522829084237437,7.509026733742985e-11,0.0,0.0,0.8296890486908515,1.5165543385445158e-7,0.0,0.0,true,16,-0.72361308463654,0.025,0.05,46.257803265,0.004420884526460746
256,10.0,6.0,1.0,100.0,0.05,0.3296407277850063,1.0317149912175694e-11,0.0,0.0,0.3452905811937024,2.0808241852257457e-8,0.0,0.0,true,15,-0.6768461572755429,0.025,0.05,44.141990326,0.0037508738428245415
256,10.0,6.4,1.0,100.0,0.05,0.30940137629337927,1.4331452691251911e-12,0.0,0.0,0.10307950076349215,2.887852658467238e-9,0.0,0.0,true,12,-0.6358417328816843,0.025,0.05,34.984420753,0.0033627479585851203
256,10.0,6.8,1.0,100.0,0.05,0.2920163958260609,-1.3070114435187463e-11,0.0,0.0,0.8267817286533585,2.6319535057521704e-8,0.0,0.0,true,14,-0.5996775271754231,0.025,0.05,40.210568943,0.0031152006611705717
256,10.0,7.2,1.0,100.0,0.05,0.27605864494847343,-3.177916375884937e-7,0.0,0.0,0.8081709524749847,0.0006396058759964808,0.0,0.0,true,23,-0.5674417209731208,0.025,0.05,66.536453006,0.0029336468137622176
256,10.0,7.6,1.0,100.0,0.05,0.26027689665789355,NaN,0.0,0.0,1.6653345369377348e-12,645.4221775039617,0.0,0.0,false,800,NaN,0.025,0.05,2283.773400954,0.0075355353249703305
256,10.0,8.0,1.0,100.0,0.05,0.24740747449803596,NaN,0.0,0.0,3.885780586188048e-13,666.210847682461,0.0,0.0,false,800,NaN,0.025,0.05,2327.641999062,0.00770894362216478
256,0.0,4.0,1.0,100.0,0.1,0.3954229199786941,4.163336342344337e-17,0.0,0.0,0.9652894012717184,8.768277084582254e-14,0.328458614616758,0.328458614616758,true,126,-1.0109228639083963,0.05,0.05,451.126126573,0.09014597360877598
256,0.0,4.4,1.0,100.0,0.1,0.39487813974141384,-2.7755575615628914e-17,0.0,0.0,0.993559522159404,5.533326503969984e-14,0.3639430632872665,0.3639430632872665,true,124,-0.9287520684030528,0.05,0.05,433.76966465,0.05731937052163629
256,0.0,4.8,1.0,100.0,0.1,0.3915624803226935,-1.3877787807814457e-17,0.0,0.0,0.9602237889342335,2.8315250640580898e-14,0.6735195133702903,0.6735195133702903,true,112,-0.8491709097211386,0.05,0.05,396.614023128,0.028019433697183134
256,0.0,5.2,1.0,100.0,0.1,0.3751902116800935,-6.938893903907228e-17,0.0,0.0,0.919237170030951,1.4032765180497312e-13,0.0,0.0,true,28,-0.7813832832789597,0.025,0.05,83.674763311,0.013566712244745989
256,0.0,5.6,1.0,100.0,0.1,0.35102994750178806,2.7755575615628914e-17,0.0,0.0,0.700917711337623,5.658723697276091e-14,0.0,0.0,true,12,-0.7262107846123252,0.025,0.05,36.61779802,0.00953924627480148
256,0.0,6.0,1.0,100.0,0.1,0.32940192265121127,-1.8041124150158794e-16,0.0,0.0,0.4753004440526398,3.6371183378857567e-13,0.0,0.0,true,15,-0.6789908815204126,0.025,0.05,45.552412229,0.007970849696860814
256,0.0,6.4,1.0,100.0,0.1,0.3097247766952951,1.3600232051658168e-15,0.0,0.0,0.9694590131323899,2.7420902201527598e-12,0.0,0.0,true,13,-0.6377855336438282,0.025,0.05,39.035310739,0.00707612916260912
256,0.0,6.8,1.0,100.0,0.1,0.2913096287722612,8.618106228652778e-15,0.0,0.0,0.3187785955528488,1.7362619186854418e-11,0.0,0.0,true,14,-0.6013108587687422,0.025,0.05,42.003329377,0.006472939298934531
256,0.0,7.2,1.0,100.0,0.1,0.2752420604763971,-2.7891577936145495e-13,0.0,0.0,0.6233702273127362,5.615804952509996e-10,0.0,0.0,true,18,-0.5689734818657927,0.025,0.05,52.981446754,0.006062584942295022
