L,U,V,t,β,δ,uS,QuS,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,1.4,1.0,6.0,0.0,0.3970682341154512,0.9919516374987669,true,61,-0.847994463568074,0.1,0.1,1.355031342,0.0,0
256,0.0,1.4,1.0,8.0,0.0,0.40028172756871333,0.9274352771553307,true,62,-0.8329912827623827,0.1,0.1,1.368691689,0.0,0
256,0.0,1.4,1.0,10.0,0.0,0.4018959805017289,0.9462129735113844,true,62,-0.8255986832003009,0.1,0.1,1.34457569,0.0,1
256,0.0,1.4,1.0,15.0,0.0,0.4036293281067956,0.9669475893735457,true,62,-0.8177968625860343,0.1,0.1,1.372777584,0.0,0
256,0.0,1.4,1.0,20.0,0.0,0.40429446699915467,0.9750870806926049,true,62,-0.8148532253239561,0.1,0.1,1.344324346,0.0,1
256,0.0,1.4,1.0,100.0,0.0,0.4052312755913401,0.9868182554219063,true,62,-0.8107899019803992,0.1,0.1,1.366098308,0.0,1
256,0.0,1.6,1.0,0.1,0.0,0.047741095203115036,0.9697596613422177,true,44,-13.866906918662856,0.1,0.1,0.966236419,0.0,0
256,0.0,1.6,1.0,1.0,0.0,0.2806984816363405,0.9385275003507276,true,51,-1.5822899142011546,0.1,0.1,1.113829783,0.0,1
256,0.0,1.6,1.0,2.0,0.0,0.35263508786327846,0.9780080581618389,true,56,-1.0658243067045328,0.1,0.1,1.209496761,0.0,1
256,0.0,1.6,1.0,4.0,0.0,0.3874488372119079,0.9560238082561012,true,60,-0.8883207960866625,0.1,0.1,1.338214216,0.0,0
256,0.0,1.6,1.0,6.0,0.0,0.39623859644667325,0.966618913783468,true,61,-0.8486683917602484,0.1,0.1,1.342957504,0.0,0
256,0.0,1.6,1.0,8.0,0.0,0.3997614783129273,0.912316102111399,true,62,-0.8334084998927798,0.1,0.1,1.379393679,0.0,0
256,0.0,1.6,1.0,10.0,0.0,0.4015375989874822,0.9355844980400985,true,62,-0.8258842999278011,0.1,0.1,1.342478756,0.0,1
256,0.0,1.6,1.0,15.0,0.0,0.4034503451834328,0.9615147645390953,true,62,-0.8179385450038894,0.1,0.1,1.377525968,0.0,0
256,0.0,1.6,1.0,20.0,0.0,0.404186183114832,0.9717676379787932,true,62,-0.8149387194836033,0.1,0.1,1.348580122,0.0,1
256,0.0,1.6,1.0,100.0,0.0,0.4052254689628523,0.9866328296268545,true,62,-0.8107944696284992,0.1,0.1,1.35810546,0.0,1
256,0.0,1.8,1.0,0.1,0.0,0.047515142604669144,0.9557330551147186,true,44,-13.86731808398467,0.1,0.1,0.969243562,0.0,0
256,0.0,1.8,1.0,1.0,0.0,0.27609613617980355,0.9168418461056316,true,50,-1.5871584924774937,0.1,0.1,1.078533392,0.0,1
256,0.0,1.8,1.0,2.0,0.0,0.34877225822120184,0.970113538880879,true,55,-1.068959518228079,0.1,0.1,1.198469219,0.0,1
256,0.0,1.8,1.0,4.0,0.0,0.38569053828747546,0.9009159497791464,true,60,-0.8895300416836294,0.1,0.1,1.320433638,0.0,0
256,0.0,1.8,1.0,6.0,0.0,0.3952783637219013,0.9357486015578731,true,61,-0.8492989362820411,0.1,0.1,1.341810973,0.0,0
256,0.0,1.8,1.0,8.0,0.0,0.39915584841587215,0.9945149992534041,true,61,-0.8337994835226853,0.1,0.1,1.346527762,0.0,0
256,0.0,1.8,1.0,10.0,0.0,0.40111825850610666,0.9222823818283432,true,62,-0.8261516923052443,0.1,0.1,1.337938137,0.0,1
256,0.0,1.8,1.0,15.0,0.0,0.40323991402479753,0.9546402727824699,true,62,-0.8180713140390887,0.1,0.1,1.377938853,0.0,0
256,0.0,1.8,1.0,20.0,0.0,0.4040585896738699,0.9675473181349759,true,62,-0.8150188934383749,0.1,0.1,1.346705986,0.0,1
256,0.0,1.8,1.0,100.0,0.0,0.4052185392892451,0.9863936219068892,true,62,-0.8107987986323019,0.1,0.1,1.347158619,0.0,1
256,0.0,2.0,1.0,0.1,0.0,0.04729132153071568,0.9418151004799424,true,44,-13.867721385397816,0.1,0.1,0.970602286,0.0,0
256,0.0,2.0,1.0,1.0,0.0,0.2714757758243125,0.8927211228847431,true,49,-1.591612404412667,0.1,0.1,1.060348083,0.0,1
256,0.0,2.0,1.0,2.0,0.0,0.34462953088258497,0.9489767404190497,true,54,-1.0718035874105563,0.1,0.1,1.181118663,0.0,1
256,0.0,2.0,1.0,4.0,0.0,0.3836846246678462,0.9360165310203783,true,59,-0.8906170569346152,0.1,0.1,1.299548985,0.0,0
256,0.0,2.0,1.0,6.0,0.0,0.3941604097329067,0.898111496499765,true,61,-0.849860364420069,0.1,0.1,1.342933347,0.0,0
256,0.0,2.0,1.0,8.0,0.0,0.39844402177496385,0.9690471215834107,true,61,-0.8341461713269738,0.1,0.1,1.339395614,0.0,0
256,0.0,2.0,1.0,10.0,0.0,0.40062349586023693,0.90552261069754,true,62,-0.8263886157017922,0.1,0.1,1.338166953,0.0,1
256,0.0,2.0,1.0,15.0,0.0,0.4029901830234115,0.9458603605231319,true,62,-0.8181888215830937,0.1,0.1,1.360405406,0.0,0
256,0.0,2.0,1.0,20.0,0.0,0.40390676054215024,0.9621256349315876,true,62,-0.8150898465865398,0.1,0.1,1.346969515,0.0,1
256,0.0,2.0,1.0,100.0,0.0,0.40521019050656026,0.9860817712730174,true,62,-0.810802662217084,0.1,0.1,1.352063023,0.0,1
256,0.0,2.2,1.0,0.1,0.0,0.04706960280692622,0.9280083478160617,true,44,-13.868116988960152,0.1,0.1,0.966223435,0.0,0
256,0.0,2.2,1.0,1.0,0.0,0.266863335111021,0.9891154993305618,true,47,-1.5956637332184567,0.1,0.1,1.011514787,0.0,1
256,0.0,2.2,1.0,2.0,0.0,0.3402094926164587,0.9146140758850008,true,53,-1.0743037644294855,0.1,0.1,1.148235571,0.0,1
256,0.0,2.2,1.0,4.0,0.0,0.38138982259126036,0.9585293967157016,true,58,-0.8915287784558965,0.1,0.1,1.278033906,0.0,0
256,0.0,2.2,1.0,6.0,0.0,0.3928530827121416,0.9513531217339999,true,60,-0.8503193718148431,0.1,0.1,1.317281516,0.0,0
256,0.0,2.2,1.0,8.0,0.0,0.3976015562593208,0.9372055587260064,true,61,-0.83442476264055,0.1,0.1,1.340181129,0.0,0
256,0.0,2.2,1.0,10.0,0.0,0.4000353478802464,0.9844886990680868,true,61,-0.8265783434512575,0.1,0.1,1.317962419,0.0,1
256,0.0,2.2,1.0,15.0,0.0,0.4026907165837525,0.9345321371052595,true,62,-0.8182817953522222,0.1,0.1,1.370669596,0.0,0
256,0.0,2.2,1.0,20.0,0.0,0.4037240947446221,0.9550790440693291,true,62,-0.8151458305812198,0.1,0.1,1.3465084,0.0,1
256,0.0,2.2,1.0,100.0,0.0,0.4052000213101392,0.9856700358126247,true,62,-0.8108057213870726,0.1,0.1,1.350407819,0.0,1
256,0.0,2.4,1.0,0.1,0.0,0.04684995773639272,0.914315183265263,true,44,-13.868505056661016,0.1,0.1,0.962101279,0.0,0
256,0.0,2.4,1.0,1.0,0.0,0.26225035055251233,0.9620001374601728,true,46,-1.5992986801756173,0.1,0.1,0.98704007,0.0,1
256,0.0,2.4,1.0,2.0,0.0,0.3355313293421477,0.9871237190730575,true,51,-1.076421254968379,0.1,0.1,1.101033737,0.0,1
256,0.0,2.4,1.0,4.0,0.0,0.3787624218071571,0.9642045918921704,true,57,-0.8922005623495097,0.1,0.1,1.263857236,0.0,0
256,0.0,2.4,1.0,6.0,0.0,0.3913140447345561,0.9955250274973348,true,59,-0.8506281235838835,0.1,0.1,1.307212399,0.0,0
256,0.0,2.4,1.0,8.0,0.0,0.39659621666692646,0.8972881387357967,true,61,-0.8346012402814666,0.1,0.1,1.348512516,0.0,0
256,0.0,2.4,1.0,10.0,0.0,0.3993274753996346,0.9549047249036713,true,61,-0.8266944296439709,0.1,0.1,1.325795782,0.0,1
