L,U,V,t,β,δ,m,uS,Qm,QuS,Converged,I,f,g,g0,ΔT,μ
256,4.0,5.2,1.0,100.0,0.0,0.4528207979340074,0.20594620779535072,0.8057463432815659,0.31659042489046163,true,34,-1.4234195607220488,0.2,0.2,1.011339656,0.0
256,4.0,5.6,1.0,100.0,0.0,0.4564720515146987,0.1986354256656634,0.9479557746083778,0.3286102921613021,true,33,-1.4070548568746608,0.2,0.2,0.984359792,0.0
256,4.0,6.0,1.0,100.0,0.0,0.4597423136565598,0.19173583314602083,0.9022813300134658,0.2777489953922907,true,33,-1.3918195341760689,0.2,0.2,1.000599655,0.0
256,4.0,6.4,1.0,100.0,0.0,0.46267767261353065,0.18522709007235136,0.866059586570489,0.2381995907810297,true,33,-1.377612795891007,0.2,0.2,0.981813209,0.0
256,4.0,6.8,1.0,100.0,0.0,0.46531859817475285,0.17908728204608382,0.8366906572850885,0.20682885698514175,true,33,-1.3643433881971598,0.2,0.2,0.987437677,0.0
256,4.0,7.2,1.0,100.0,0.0,0.46770041775748705,0.17329404085688482,0.8124192847478451,0.18149210025958373,true,33,-1.3519289494147957,0.2,0.2,0.980025893,0.0
256,4.0,7.6,1.0,100.0,0.0,0.46985388830068986,0.16782522727932844,0.9900417851922416,0.20087760432146995,true,32,-1.3402952819960998,0.2,0.2,0.946730372,0.0
256,4.0,8.0,1.0,100.0,0.0,0.4718057514105579,0.1626593870472604,0.9683442008147081,0.17925967907533868,true,32,-1.3293756068886429,0.2,0.2,0.946618163,0.0
256,4.4,4.0,1.0,100.0,0.0,0.44488521041364254,0.2206027117811704,0.8127287712191844,0.4829788515806621,true,35,-1.5586091636699106,0.2,0.2,1.042482216,0.0
256,4.4,4.4,1.0,100.0,0.0,0.4493272528952726,0.21259274818610543,0.9122107188598294,0.47719920202599075,true,34,-1.5398479287643096,0.2,0.2,1.015736162,0.0
256,4.4,4.8,1.0,100.0,0.0,0.4533046979561527,0.2049995519676988,0.8379132451070692,0.386293012746064,true,34,-1.5224137460486262,0.2,0.2,1.016565917,0.0
256,4.4,5.2,1.0,100.0,0.0,0.4568698770369825,0.1978146208547079,0.9777794042113985,0.3973672747382695,true,33,-1.5061916094527965,0.2,0.2,0.979817105,0.0
256,4.4,5.6,1.0,100.0,0.0,0.46007099799176565,0.19102249599982946,0.9249204691843538,0.33319175016555125,true,33,-1.4910756797729863,0.2,0.2,0.981384921,0.0
256,4.4,6.0,1.0,100.0,0.0,0.4629505608660386,0.18460562396939012,0.883535194684093,0.2836136292009295,true,33,-1.4769692534180558,0.2,0.2,0.981007133,0.0
256,4.4,6.4,1.0,100.0,0.0,0.4655462930109845,0.17854436379212446,0.8504162596305598,0.24463352352516177,true,33,-1.4637844242997096,0.2,0.2,0.980569015,0.0
256,4.4,6.8,1.0,100.0,0.0,0.46789135043401625,0.17281835701819098,0.8233760245720534,0.21344120304717107,true,33,-1.4514415628882462,0.2,0.2,0.997420238,0.0
256,4.4,7.2,1.0,100.0,0.0,0.47001477939518965,0.16740720001337378,0.8009068514546192,0.1880680760006359,true,33,-1.439868700155606,0.2,0.2,0.974664193,0.0
256,4.4,7.6,1.0,100.0,0.0,0.47194197591361714,0.16229091647976174,0.9774391184971254,0.20890423950237214,true,32,-1.429000875941752,0.2,0.2,0.94792692,0.0
256,4.4,8.0,1.0,100.0,0.0,0.4736951237995064,0.15745027079830803,0.957191901083676,0.18701423016165286,true,32,-1.4187794903678383,0.2,0.2,0.961936034,0.0
256,4.8,4.0,1.0,100.0,0.0,0.44989394963184426,0.21153630573967297,0.9643942511965431,0.5819683178882595,true,34,-1.6386967053975472,0.2,0.2,1.013275453,0.0
256,4.8,4.4,1.0,100.0,0.0,0.453771025375183,0.2040810186897849,0.8771664670553792,0.46959146657626905,true,34,-1.6214272899091804,0.2,0.2,1.009443354,0.0
256,4.8,4.8,1.0,100.0,0.0,0.45725506359451973,0.19701513657884973,0.8119325940019184,0.3844730980024358,true,34,-1.6053432462182067,0.2,0.2,1.020634089,0.0
256,4.8,5.2,1.0,100.0,0.0,0.46039024875721324,0.19032599790100055,0.9527834680285174,0.39916179663013196,true,33,-1.5903433366547481,0.2,0.2,0.975927764,0.0
256,4.8,5.6,1.0,100.0,0.0,0.46321646365662195,0.18399726978921616,0.9050319149481734,0.33726436753178657,true,33,-1.5763346681068686,0.2,0.2,0.980206312,0.0
256,4.8,6.0,1.0,100.0,0.0,0.46576876310773063,0.17801173769223694,0.8672516111818407,0.28886444938697187,true,33,-1.5632324735289826,0.2,0.2,0.981715703,0.0
256,4.8,6.4,1.0,100.0,0.0,0.4680783390641622,0.17235081074814723,0.8367709516552413,0.25043442854588704,true,33,-1.550959701618237,0.2,0.2,0.973943868,0.0
256,4.8,6.8,1.0,100.0,0.0,0.47017266796312696,0.16699564866600525,0.8117278292760766,0.2194382295452324,true,33,-1.5394464982429512,0.2,0.2,0.972792106,0.0
256,4.8,7.2,1.0,100.0,0.0,0.4720758963555541,0.16192763109370878,0.9885173086482402,0.24257386427933847,true,32,-1.5286296380666893,0.2,0.2,0.951820691,0.0
256,4.8,7.6,1.0,100.0,0.0,0.47380921749891614,0.1571286771504941,0.9663772639663115,0.2162527209751408,true,32,-1.5184519456279773,0.2,0.2,0.951962401,0.0
256,4.8,8.0,1.0,100.0,0.0,0.47539121718147725,0.1525814737980054,0.9473953402254764,0.19414213552826354,true,32,-1.5088617310128256,0.2,0.2,0.948475153,0.0
256,5.2,4.0,1.0,100.0,0.0,0.4542205155877149,0.20318975743511222,0.923866069792223,0.5675923184531584,true,34,-1.720459359494381,0.2,0.2,1.002897373,0.0
256,5.2,4.4,1.0,100.0,0.0,0.45762787674881533,0.19623682130505615,0.8475849448743578,0.4631540229642628,true,34,-1.704509191800665,0.2,0.2,1.002975434,0.0
256,5.2,4.8,1.0,100.0,0.0,0.4607003806721071,0.18964592567204214,0.98649540978335,0.4773667308106133,true,33,-1.689622104454912,0.2,0.2,0.971309339,0.0
256,5.2,5.2,1.0,100.0,0.0,0.4634756149933347,0.1834016790276875,0.9311227808930234,0.4007598335843965,true,33,-1.6757087592022124,0.2,0.2,0.981521439,0.0
256,5.2,5.6,1.0,100.0,0.0,0.46598618323900054,0.17748911462840938,0.8876631933892876,0.34090240038364694,true,33,-1.6626873374127942,0.2,0.2,0.968835812,0.0
256,5.2,6.0,1.0,100.0,0.0,0.4682615128485169,0.17189116954811845,0.852955777214115,0.2935935365114828,true,33,-1.6504832241399772,0.2,0.2,0.974659726,0.0
256,5.2,6.4,1.0,100.0,0.0,0.4703276482737234,0.16659039163143574,0.8247475397373805,0.2556960647639994,true,33,-1.6390285745883197,0.2,0.2,0.97778352,0.0
256,5.2,6.8,1.0,100.0,0.0,0.47220758227736953,0.16156938810021443,0.8014378450004189,0.224909113848204,true,33,-1.6282618195907754,0.2,0.2,0.965917236,0.0
256,5.2,7.2,1.0,100.0,0.0,0.47392157895679066,0.1568111536998594,0.9773524995942973,0.24943848859176887,true,32,-1.6181271493464036,0.2,0.2,0.948305947,0.0
256,5.2,7.6,1.0,100.0,0.0,0.47548748555420606,0.15229928253128477,0.9565759545249186,0.22301518595108094,true,32,-1.6085740014096432,0.2,0.2,0.967228652,0.0
256,5.2,8.0,1.0,100.0,0.0,0.47692100869311904,0.1480181369717954,0.9387082187787277,0.20072547140659314,true,32,-1.5995565692772546,0.2,0.2,0.959225071,0.0
