L,U,V,t,β,δ,uS,ud,wx,wy,QuS,Qud,Qwx,Qwy,Converged,I,f,g,g0,ΔT,μ,Layer
256,0.0,0.8,1.0,100.0,0.1,0.395748151023534,-4.755515498527929e-6,0.0,0.0,0.9167425575731247,0.039641231982867606,0.3094850098213456,0.3094850098213456,true,30,-1.6734437269300209,0.2,0.2,166.659845728,0.3593334199175944,0
256,0.0,0.8,1.0,100.0,0.15,0.38149927991138166,-6.900024625750012e-6,0.0,0.0,0.8723180855889634,0.07723014761996151,0.3094850098213456,0.3094850098213456,true,30,-1.8070342531749861,0.2,0.2,136.974063337,0.6113033415705988,0
256,0.0,0.8,1.0,100.0,0.2,0.3593379283313477,-7.854935533180285e-6,0.0,0.0,0.8034507267796753,0.12140361909196605,0.3094850098213456,0.3094850098213456,true,30,-1.9691596161916298,0.2,0.2,138.068133802,0.9071417819646835,0
256,0.0,0.8,1.0,100.0,0.25,0.32819278325463985,-9.450195545074314e-6,0.0,0.0,0.883533088758548,0.21766600596588603,0.38685626227668196,0.38685626227668196,true,29,-2.164925421064727,0.2,0.2,252.028579136,1.2509713350669551,0
256,0.0,0.8,1.0,100.0,0.3,0.2870037955315066,-9.535892188577977e-6,0.0,0.0,0.9049047448870251,0.3455548802156953,0.4835703278458524,0.4835703278458524,true,28,-2.4015572501339717,0.2,0.2,236.591981149,1.6491949540762942,0
256,0.0,0.8,1.0,100.0,0.35,0.23470026425915755,-7.95643737591667e-6,0.0,0.0,0.8146324169621133,0.5067780249474404,0.6044629098073154,0.6044629098073154,true,27,-2.6890347597937634,0.2,0.2,149.50104718,2.110854474182599,0
256,0.0,0.8,1.0,100.0,0.4,0.17018891155474036,-5.93642530641314e-6,0.0,0.0,0.66321125152069,0.8824960420502173,0.9444732965739303,0.9444732965739303,true,25,-3.0397417096899404,0.2,0.2,99.533976885,2.646768123597435,0
256,0.0,0.8,1.0,100.0,0.45,0.0923420506293138,-1.4958277840537715e-6,0.0,0.0,0.07224283525733566,0.9292646955371624,0.9444732965739303,0.9444732965739303,true,25,-3.4696780303173873,0.2,0.2,96.78820092,3.270602857660389,0
256,0.0,1.2,1.0,100.0,0.0,0.40523618052612675,-1.2723153086646732e-10,0.0,0.0,0.9480817959239829,4.0556355624362067e-7,0.3094850098213456,0.3094850098213456,true,30,-1.4241979261729258,0.2,0.2,2.414121161,0.0,0
256,0.0,1.2,1.0,100.0,0.05,0.40320907673821,-2.399340123110383e-7,0.0,0.0,0.9421291498078466,0.0010784293784050713,0.3094850098213456,0.3094850098213456,true,30,-1.4931238949704544,0.2,0.2,90.476896573,0.13669567940669228,0
256,0.0,1.2,1.0,100.0,0.1,0.3957435376558386,-1.6208185382310392e-6,0.0,0.0,0.9182370474373203,0.00944497240760065,0.3094850098213456,0.3094850098213456,true,30,-1.5905529958974631,0.2,0.2,158.163302581,0.3255921007005419,0
256,0.0,1.2,1.0,100.0,0.15,0.3814955986548965,-4.019104482166913e-6,0.0,0.0,0.8735678217662857,0.03048545108737925,0.3094850098213456,0.3094850098213456,true,30,-1.713088230617293,0.2,0.2,138.53883866,0.5563342882926123,0
256,0.0,1.2,1.0,100.0,0.2,0.35933500955670583,-6.483877898810775e-6,0.0,0.0,0.8044565543747773,0.06636078032253664,0.3094850098213456,0.3094850098213456,true,30,-1.8642959197954492,0.2,0.2,140.862214353,0.831120913893709,0
256,0.0,1.2,1.0,100.0,0.25,0.3281904750313744,-1.0167064244864799e-5,0.0,0.0,0.884482254667529,0.151490351790127,0.38685626227668196,0.38685626227668196,true,29,-2.0510736293714418,0.2,0.2,257.165425852,1.156614139019776,0
256,0.0,1.2,1.0,100.0,0.3,0.2870020683557569,-1.2108556691092787e-5,0.0,0.0,0.9057121876163698,0.2820507607257325,0.4835703278458524,0.4835703278458524,true,28,-2.283221895264669,0.2,0.2,240.818953016,1.5424610828398746,0
256,0.0,1.2,1.0,100.0,0.35,0.23469913368521872,-1.1140948361937353e-5,0.0,0.0,0.81521761528347,0.4581298985994264,0.6044629098073154,0.6044629098073154,true,27,-2.5742178535099827,0.2,0.2,141.486230812,2.00169759484077,0
256,0.0,1.2,1.0,100.0,0.4,0.17018822389027943,-8.831316533036704e-6,0.0,0.0,0.6636227327733168,0.8499815069266053,0.9444732965739303,0.9444732965739303,true,25,-2.9413276959997665,0.2,0.2,99.714058824,2.550292153723591,0
256,0.0,1.2,1.0,100.0,0.45,0.09234174505968906,-2.26669071740071e-6,0.0,0.0,0.07213689102017473,0.9212451169961786,0.9444732965739303,0.9444732965739303,true,25,-3.4066585427905713,0.2,0.2,92.798482866,3.207856881639418,0
256,0.0,1.6,1.0,100.0,0.0,0.4052254666475971,-7.91033905045424e-15,0.0,0.0,0.9496005833614651,2.226608731837245e-11,0.3094850098213456,0.3094850098213456,true,30,-1.3585130349858696,0.2,0.2,2.693431107,0.0,0
256,0.0,1.6,1.0,100.0,0.05,0.4032008387008079,-1.1116940049071822e-8,0.0,0.0,0.944093938193058,4.081552293092123e-5,0.3094850098213456,0.3094850098213456,true,30,-1.4201295949996728,0.2,0.2,89.112307564,0.12221469544340116,0
256,0.0,1.6,1.0,100.0,0.1,0.39573721007378215,-3.1997138505435174e-7,0.0,0.0,0.9200730044263139,0.0014631671014076614,0.3094850098213456,0.3094850098213456,true,30,-1.5076719698873726,0.2,0.2,156.312135061,0.29186409267078745,0
256,0.0,1.6,1.0,100.0,0.15,0.38149061046766475,-1.6415403082115088e-6,0.0,0.0,0.8751633743578902,0.00948578247376587,0.3094850098213456,0.3094850098213456,true,30,-1.6191509048881727,0.2,0.2,148.013823256,0.5013765910024204,0
256,0.0,1.6,1.0,100.0,0.2,0.35933113853497345,-4.174110710075674e-6,0.0,0.0,0.8057990715183427,0.031804660992780454,0.3094850098213456,0.3094850098213456,true,30,-1.7594345314756072,0.2,0.2,164.141795345,0.7551019519421166,0
256,0.0,1.6,1.0,100.0,0.25,0.3281875254998373,-9.088921642086412e-6,0.0,0.0,0.8858078314752937,0.09859546750687447,0.38685626227668196,0.38685626227668196,true,29,-1.937223466454433,0.2,0.2,252.97432822,1.062258187769177,0
256,0.0,1.6,1.0,100.0,0.3,0.28699995161894837,-1.3275001832402378e-5,0.0,0.0,0.9068857056064861,0.2234343104191398,0.4835703278458524,0.4835703278458524,true,28,-2.1648874796277457,0.2,0.2,242.427969194,1.4357278208440203,0
256,0.0,1.6,1.0,100.0,0.35,0.23469779858927828,-1.3739157240233446e-5,0.0,0.0,0.8160948283998382,0.40969793007200705,0.6044629098073154,0.6044629098073154,true,27,-2.4594068560591063,0.2,0.2,146.148556185,1.8925473809625168,0
256,0.0,1.6,1.0,100.0,0.4,0.17018745406475122,-1.1656680560939714e-5,0.0,0.0,0.6642448351534269,0.816387456347078,0.9444732965739303,0.9444732965739303,true,25,-2.8429163793605916,0.2,0.2,100.997197246,2.4538190598945793,0
256,0.0,1.6,1.0,100.0,0.45,0.09234142122893105,-3.052796672786684e-6,0.0,0.0,0.07197944703823955,0.9129460470424698,0.9444732965739303,0.9444732965739303,true,25,-3.3436399340550027,0.2,0.2,92.402652264,3.1451118060992505,0
256,0.0,2.0,1.0,100.0,0.0,0.405210186534277,-5.551115123125783e-17,0.0,0.0,0.9510627842597152,1.2143583821115637e-13,0.3094850098213456,0.3094850098213456,true,30,-1.2928323130064239,0.2,0.2,2.518208812,0.0,0
256,0.0,2.0,1.0,100.0,0.05,0.4031889973774325,-1.1141518263535488e-10,0.0,0.0,0.9459771331872258,3.5398548575825314e-7,0.3094850098213456,0.3094850098213456,true,30,-1.3471512133733612,0.2,0.2,89.235388036,0.10775683307505542,0
256,0.0,2.0,1.0,100.0,0.1,0.39572821311000617,-3.065732435969526e-8,0.0,0.0,0.922178946889396,0.00011711026296204947,0.3094850098213456,0.3094850098213456,true,30,-1.4248021705245786,0.2,0.2,167.056194536,0.25815079286140247,0
256,0.0,2.0,1.0,100.0,0.15,0.38148363267951235,-4.459438527337767e-7,0.0,0.0,0.8770275862205468,0.002092796980376601,0.3094850098213456,0.3094850098213456,true,30,-1.5252232806732247,0.2,0.2,160.804310179,0.44643103064698164,0
256,0.0,2.0,1.0,100.0,0.2,0.35932586471857897,-2.1021698572709635e-6,0.0,0.0,0.8074413586492968,0.012712160488986159,0.3094850098213456,0.3094850098213456,true,30,-1.654577032271519,0.2,0.2,157.876238194,0.6790866745719102,0
256,0.0,2.0,1.0,100.0,0.25,0.32818367332819554,-6.978317164035852e-6,0.0,0.0,0.8874989776673781,0.05880762270887049,0.38685626227668196,0.38685626227668196,true,29,-1.823376227340745,0.2,0.2,256.367102059,0.9679049365996533,0
256,0.0,2.0,1.0,100.0,0.3,0.2869973160514889,-1.3159015294667009e-5,0.0,0.0,0.9084454183215795,0.17055727454308725,0.4835703278458524,0.4835703278458524,true,28,-2.0465549467300237,0.2,0.2,239.04269006,1.3289962139390825,0
