L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.0,2.1,1.0,100.0,0.0,0.6587120657324365,-0.0005903467014487518,0.004639120933884838,0.34732397612731647,1.3877787807814457e-17,0.01496352795271605,0.12675180637100472,0.9961902061065876,0.009558676592247295,2.4532673082931157e-14,55,-1.5708509296435058,0.5,0.5,0.882248839,0.0
128,0.0,2.2,1.0,100.0,0.0,0.6441811513307375,-0.0016793404362744901,0.013165936798196751,0.35288285433240685,-2.0816681711721685e-17,0.04108184100237722,0.12538934588449863,0.9839537097017965,0.023443539478140707,4.570590774632166e-14,84,-1.5630880283495134,0.5,0.5,1.351381366,0.0
128,0.0,2.3,1.0,100.0,0.0,0.6231625353943425,-0.008504087200385563,0.06740395906709659,0.35421351384533173,-2.7755575615628914e-17,0.1992850796170842,0.12115320921078643,0.9822178220660893,0.11862904087278636,9.099165567326001e-11,42,-1.555803986401511,0.5,0.5,0.679329181,0.0
128,0.0,2.4,1.0,100.0,0.0,0.5995296528469053,-0.01281402617124991,0.10427426162266776,0.3533250950528326,0.0,0.6661179890636859,0.2801346588680656,0.49853873641642066,0.8452440140828132,0.09765624999999284,12,-1.550867813675894,0.5,0.5,0.19144984,0.0
128,0.0,2.5,1.0,100.0,0.0,0.5766187970249792,-0.01592360830349257,0.13102743661948696,0.3519072162258177,6.938893903907228e-18,0.3371416398183502,0.11020937099257,0.9877609149590572,0.2549124087850574,4.7683715801683217e-5,23,-1.5486805484162116,0.5,0.5,0.38111845,0.0
128,0.0,2.6,1.0,100.0,0.0,0.5549009421172042,-0.018127334732458783,0.15222302361804,0.35020365277981136,2.0816681711721685e-17,0.33701592121504476,0.09716987096548141,0.9181925386452239,0.2903798722293516,2.3841857892662414e-5,24,-1.5491715608640328,0.5,0.5,0.387462915,0.0
128,0.0,2.7,1.0,100.0,0.0,0.5348283224213506,-0.01971223935420094,0.16886292169543307,0.34865375806642596,0.0,0.3358652721994204,0.08934527939175041,0.8868545113172033,0.3243973446299675,4.768371582766329e-5,23,-1.5518518192775255,0.5,0.5,0.375032278,0.0
128,0.0,2.8,1.0,100.0,0.0,0.5161775876835144,-0.02089485530933133,0.1825394131648482,0.3472092323526438,1.734723475976807e-17,0.3194336129284103,0.07992715029597058,0.8349966038200818,0.341613705852728,9.536743164196965e-5,22,-1.5565080734667531,0.5,0.5,0.350934798,0.0
128,0.0,2.9,1.0,100.0,0.0,0.49886740601345025,-0.021772863284313465,0.19388791600892952,0.34594024663963774,1.0408340855860843e-17,0.37258404775575293,0.08757983115039586,0.9741165994354706,0.43239150077523103,0.0003814697265561155,20,-1.5628336010624384,0.5,0.5,0.325098392,0.0
128,0.0,3.0,1.0,100.0,0.0,0.48264659950483413,-0.02245277142459967,0.2037419915115935,0.3447002642934266,6.938893903907228e-18,0.364628265490885,0.09066267956141238,0.961961142933121,0.45594593319231436,0.0007629394531414337,19,-1.5708185532620929,0.5,0.5,0.301475289,0.0
128,0.0,3.1,1.0,100.0,0.0,0.46746346908791203,-0.02295463311722068,0.21228987005323963,0.3435482764237842,6.938893903907228e-18,0.36581379146094495,0.06119377989579483,0.9667847849418321,0.47952977880405534,0.0015258789062643956,18,-1.5802269156928865,0.5,0.5,0.294599329,0.0
128,0.0,3.2,1.0,100.0,0.0,0.45322347296878573,-0.023361964282253372,0.21978786055347233,0.34247421630001085,1.734723475976807e-17,0.3603990579126304,0.14226634193468396,0.9872543442167592,0.4987578552497762,0.003051757812492106,17,-1.5909393015969864,0.5,0.5,0.273146858,0.0
128,0.0,3.3,1.0,100.0,0.0,0.4397824980055498,-0.023658173326080723,0.22656882023291247,0.34138694070154674,6.938893903907228e-18,0.2762608484969675,0.1497833866943854,0.7877830190562429,0.410643584316861,0.0030517578125194202,17,-1.6029701519408097,0.5,0.5,0.278099666,0.0
128,0.0,3.4,1.0,100.0,0.0,0.4271445864435207,-0.02373825472031546,0.23250250583122117,0.34043305049577277,1.3877787807814457e-17,0.33521711345474436,0.19273360216455482,0.7870733187345103,0.3850134046351483,0.006103515624994277,16,-1.6159274481879806,0.5,0.5,0.260680473,0.0
