L,U,V,t,β,δ,uS,wd,QuS,Qwd,I,f,g,g0,ΔT,μ
128,0.5,4.0,1.0,100.0,0.0,0.43088767459953026,0.39387657890577477,0.8635186703893627,0.09627825535729606,17,-1.482337315176662,0.5,0.5,0.223899832,0.0
128,1.0,0.0,1.0,100.0,0.0,0.8104611861692472,0.0,0.6938097521183018,0.09765625,12,-1.6212287122694495,0.5,0.5,0.153671056,0.0
128,1.0,0.1,1.0,100.0,0.0,0.8104583873589926,0.0002539416474993776,0.34720510714336683,0.9985424784586358,13,-1.6212285916989775,0.5,0.5,0.162993729,0.0
128,1.0,0.2,1.0,100.0,0.0,0.8104550680572138,0.001009199345974177,0.0004291052349003621,0.896784620442374,24,-1.621228122375486,0.5,0.5,0.314495447,0.0
128,1.0,0.3,1.0,100.0,0.0,0.8103592298339439,0.02881769720021897,0.007132253534436472,0.9768649344595661,28,-1.6212110502893409,0.5,0.5,0.356120635,0.0
128,1.0,0.4,1.0,100.0,0.0,0.8096950020543321,0.06709404827032077,0.19891118845904998,0.8347105496219198,14,-1.621267579770135,0.5,0.5,0.184339199,0.0
128,1.0,0.5,1.0,100.0,0.0,0.8084340704440076,0.09559927702001664,0.6429507413456825,0.8300531796808786,12,-1.6214745810479028,0.5,0.5,0.160293433,0.0
128,1.0,0.6,1.0,100.0,0.0,0.8062597475255286,0.12372729600450538,0.03418781060915421,0.8045430217783478,16,-1.621727588306927,0.5,0.5,0.204630708,0.0
128,1.0,0.7,1.0,100.0,0.0,0.8030855700580541,0.15010086560290054,0.0904760046873676,0.7798572684948324,17,-1.6219586067908616,0.5,0.5,0.216077908,0.0
128,1.0,0.8,1.0,100.0,0.0,0.7988447491093824,0.17450284292227758,0.1435080376319675,0.820327534084897,17,-1.6220628556144097,0.5,0.5,0.226997936,0.0
128,1.0,0.9,1.0,100.0,0.0,0.7934919958684488,0.19696063676164655,0.18801325567840976,0.7768671748929479,17,-1.6219079992627643,0.5,0.5,0.216382208,0.0
128,1.0,1.0,1.0,100.0,0.0,0.7870206523357743,0.21751221277088442,0.21896539840726703,0.6875726790957493,17,-1.6213610460727614,0.5,0.5,0.219904927,0.0
128,1.0,1.1,1.0,100.0,0.0,0.7794778829233173,0.2361780370790587,0.3456569299584711,0.8875371500978169,16,-1.6203208879174835,0.5,0.5,0.212297085,0.0
128,1.0,1.2,1.0,100.0,0.0,0.7708362208694512,0.25321883035348114,0.35617951466671016,0.7384321681840333,16,-1.618622394455432,0.5,0.5,0.206184713,0.0
