L,U,V,t,β,δ,uS,wS,ws,QuS,QwS,Qws,I,f,g,g0,ΔT,μ
128,0.0,1.0,1.0,100.0,0.0,0.8103946140566749,0.00022246388588885983,2.0328790734103208e-20,0.3515823158632969,0.8615140007825146,0.048828125000000056,13,-1.6211940201607735,0.5,0.5,0.163816455,0.0
128,0.0,1.1,1.0,100.0,0.0,0.8103774292141487,0.00029487830428740825,1.3552527156068805e-20,0.17836294765838367,0.8772435137863485,0.02441406250000004,14,-1.6211793808537673,0.5,0.5,0.185301562,0.0
128,0.0,1.2,1.0,100.0,0.0,0.8103554186595955,0.0004484757122187853,1.0842021724855044e-19,0.09299308121057948,0.998787855175596,0.012207031249999932,15,-1.621158881096181,0.5,0.5,0.184932595,0.0
128,0.0,1.3,1.0,100.0,0.0,0.8103269043101091,0.0006247103632182627,2.710505431213761e-20,0.028188429719744335,0.9960041960490247,0.003051757812500346,17,-1.6211300584221315,0.5,0.5,0.20439247,0.0
128,0.0,1.4,1.0,100.0,0.0,0.8102894098672906,0.0008182809462196953,-2.710505431213761e-20,0.006929834609259444,0.8609715784942489,0.00019073486328174076,21,-1.6210891994766872,0.5,0.5,0.273751996,0.0
128,0.0,1.5,1.0,100.0,0.0,0.8102353119967445,0.0016254246384246065,5.963111948670274e-19,0.00966312821781834,0.9467671585026609,2.9802322380259333e-6,27,-1.6210276655518483,0.5,0.5,0.335944244,0.0
128,0.0,1.6,1.0,100.0,0.0,0.8100954812996906,0.005662168762655193,3.2526065174565133e-19,0.02904806234305113,0.9749329649041977,5.685144490447355e-12,46,-1.6208926332511053,0.5,0.5,0.583554031,0.0
128,0.0,1.7,1.0,100.0,0.0,0.7853833082613325,0.09940503376543974,-1.734723475976807e-18,0.46757509906480976,0.9306157874902077,8.157011757910151e-14,52,-1.6049753294971223,0.5,0.5,0.651863692,0.0
128,0.0,1.8,1.0,100.0,0.0,0.7411540352756357,0.16363735178629707,3.469446951953614e-18,0.7792963577686329,0.8916183306294512,7.450580728057761e-7,29,-1.5792892718682543,0.5,0.5,0.35260677,0.0
128,0.0,1.9,1.0,100.0,0.0,0.7019383620861857,0.20233307770138453,5.204170427930421e-17,0.9989355114663478,0.8940701290352515,0.0001907348631966654,21,-1.5600019997511736,0.5,0.5,0.266663842,0.0
128,0.0,2.0,1.0,100.0,0.0,0.6667044461150469,0.23023025411245146,4.163336342344337e-17,0.6930491818311069,0.5569328548192254,0.00152587890621575,18,-1.5459684182025988,0.5,0.5,0.234814301,0.0
