L,U,V,t,β,δ,uS,wS,wd,ws,QuS,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
128,0.5,1.2,1.0,100.0,0.0,0.7708377083696578,0.00016941742590588938,0.25321605553003423,-1.1785465943436879e-8,0.3617602870586989,0.49594514830604564,0.7532967441934435,0.00013113060793525785,16,-1.618623783817017,0.5,0.5,0.234404839,0.0
128,0.5,1.3,1.0,100.0,0.0,0.7611843421282919,0.0003167701843394752,0.2686559836557475,-1.3577667302977492e-8,0.35015181981412624,0.7552738697338374,0.6080061169617679,0.00015673382169316633,16,-1.6162035330140223,0.5,0.5,0.233789489,0.0
128,0.5,1.4,1.0,100.0,0.0,0.750574069438015,0.00044707312387864094,0.2826282581174788,-6.103485591935076e-9,0.1964482614893459,0.8634869722279722,0.2845353408752471,7.281923703652848e-5,17,-1.6129843258759287,0.5,0.5,0.237871279,0.0
128,0.5,1.5,1.0,100.0,0.0,0.7391252572185975,0.000529169891329723,0.2952016203153692,-1.1049771722615453e-9,0.056125147966046285,0.8199583124270666,0.07142317646258167,1.3578212585795035e-5,19,-1.6089725254946128,0.5,0.5,0.279590175,0.0
128,0.5,1.6,1.0,100.0,0.0,0.726939774092235,0.0007199849542065973,0.3064889008636396,-2.0311644033377263e-10,0.011775058950558304,0.8817121808124203,0.018093739754143634,2.563192880752458e-6,21,-1.6041830081519366,0.5,0.5,0.299448777,0.0
128,0.5,1.7,1.0,100.0,0.0,0.7141152336213022,0.0009410453616305377,0.31660805250347335,-1.5450335455469144e-11,0.0011190753725909275,0.8908107152627545,0.005369912505770458,1.997679292541843e-7,24,-1.5986476381818306,0.5,0.5,0.343581386,0.0
128,0.5,1.8,1.0,100.0,0.0,0.7007649665624769,0.0013037324675974158,0.3256595583996027,-4.944239462290057e-13,0.0038311038903504624,0.9222548897458863,0.004346037095981359,6.537552883469419e-9,28,-1.5924385598898363,0.5,0.5,0.404705498,0.0
128,0.5,1.9,1.0,100.0,0.0,0.6870064805573393,0.0018876794567858988,0.33373787446422354,-2.7824964554667986e-15,0.005856304331031126,0.9447749412765296,0.004984180443701192,3.763105620800172e-11,34,-1.5856554023308926,0.5,0.5,0.49097343,0.0
128,0.5,2.0,1.0,100.0,0.0,0.6729536996555092,0.0029628062774607142,0.3409317264632318,2.7755575615628914e-17,0.00913913942945932,0.9502383138557833,0.0064914234557678085,6.491125848528399e-14,44,-1.5784164734860253,0.5,0.5,0.634590975,0.0
128,0.5,2.1,1.0,100.0,0.0,0.6586895588239997,0.006044345964024851,0.3473106172780147,6.938893903907228e-18,0.019072599188207917,0.991921750591835,0.011832916545717609,2.4591854402072852e-14,62,-1.5708494926082246,0.5,0.5,0.906687375,0.0
