L,U,V,t,β,δ,m,uS,ud,vS,vd,Qm,QuS,Qud,QvS,Qvd,Converged,I,f,g,g0,ΔT,μ
128,2.0,3.1,1.0,100.0,0.0,0.3484597802260182,0.32781583692903415,-4.780863205322561e-13,-6.137340405398354e-10,-1.4430604460481296e-15,0.9925623832294228,0.5292037097190949,1.5488844721066687e-9,2.4147402642401075e-6,4.36737603455268e-12,true,175,-1.2209758241581392,0.05,0.05,2.762486659,0.0
128,2.0,3.2,1.0,100.0,0.0,0.3529782897813105,0.3245586056388188,-3.490263633665336e-13,-4.856428163380366e-10,-1.0136861604382714e-15,0.9796995143764864,0.5239585318227435,1.117282688847615e-9,1.8696132321962715e-6,3.0422873973190984e-12,true,173,-1.2103392690685046,0.05,0.05,2.727742986,0.0
128,2.0,3.3,1.0,100.0,0.0,0.3573728632331188,0.3212760225886958,-2.5695418015558857e-13,-3.83900092908391e-10,-7.206979493021528e-16,0.9698921682070871,0.5180608243998686,8.132858195204702e-10,1.447772412653466e-6,2.1457638705767972e-12,true,171,-1.1999145020696478,0.05,0.05,2.701764698,0.0
128,2.0,3.4,1.0,100.0,0.0,0.36164160735062123,0.31797449523174326,-1.9085427682696832e-13,-3.033471861202784e-10,-5.183600527909496e-16,0.9637399262534263,0.5118531740656573,5.975749036162863e-10,1.121862849454015e-6,1.5316123964766288e-12,true,169,-1.1897008478640594,0.05,0.05,2.667073287,0.0
128,2.0,3.5,1.0,100.0,0.0,0.3657834389625728,0.3146601873273277,-1.4300366446562407e-13,-2.3973651651539264e-10,-3.769929295649946e-16,0.9617832848775043,0.505662744196389,4.4317625445151233e-10,8.703464102167845e-7,1.105816872086526e-12,true,167,-1.179697190319048,0.05,0.05,2.634690768,0.0
128,2.0,3.6,1.0,100.0,0.0,0.36979801590448436,0.3113389739640873,-1.0812357953415841e-13,-1.8960396494056224e-10,-2.771088998397915e-16,0.9645074885780147,0.49979271929645464,3.318110986742524e-10,6.763570483766129e-7,8.071712830845757e-13,true,165,-1.169902003936955,0.05,0.05,2.599249063,0.0
128,2.0,3.7,1.0,100.0,0.0,0.37368566331587005,0.3080164071262743,-8.247222349488936e-14,-1.501480042472002e-10,-2.0576526047662528e-16,0.9723500502196725,0.49451643978115634,2.5075594778530634e-10,5.26750888405481e-7,5.953535226673555e-13,true,163,-1.1603133874121272,0.05,0.05,2.577129342,0.0
128,2.0,3.8,1.0,100.0,0.0,0.3774472981571104,0.30469769103795374,-6.350649173203493e-14,-1.1911951939154464e-10,-1.5427020405143736e-16,0.9857110653933576,0.4900741887359228,1.9137041271606488e-10,4.1132766694688693e-7,4.434921638796465e-13,true,161,-1.150929098421313,0.05,0.05,2.539049911,0.0
128,2.0,3.9,1.0,100.0,0.0,0.3810853447893564,0.3013867509466589,-4.187969415703208e-14,-8.322399963577698e-11,-9.726095162291107e-17,0.9566981139084163,0.46416948064065267,1.2513352926950726e-10,2.830891472027553e-7,2.7787992836317605e-13,true,160,-1.1417465888280685,0.05,0.05,2.525080145,0.0
128,2.0,4.0,1.0,100.0,0.0,0.3845995276424815,0.29809002319761635,-3.2748109779490164e-14,-6.617482912279127e-11,-7.401405456147287e-17,0.9805873877665183,0.4618176774887628,9.705027721249258e-11,2.2189360015262157e-7,2.1020219671747736e-13,true,158,-1.1327630399433362,0.05,0.05,2.489917404,0.0
128,2.5,0.0,1.0,100.0,0.0,0.23984425942281878,0.37956932395045906,3.8163916471489756e-17,0.0,0.0,0.9768421584182563,0.27233087084121976,0.004895716833739834,0.004895716833816733,0.004895716833816733,true,208,-1.662090764338859,0.05,0.05,3.279408684,0.0
128,2.5,0.1,1.0,100.0,0.0,0.2443675454696756,0.37819003125895667,-6.207603622451763e-8,-3.814581618443286e-8,-7.011435362929617e-8,0.9814450672516184,0.2846160538410025,0.003149544806220838,0.004034537136968933,0.00251801449777236,true,208,-1.6477463925949005,0.05,0.05,3.277040415,0.0
128,2.5,0.2,1.0,100.0,0.0,0.24894021663257399,0.37674189190966567,-7.64986752416208e-8,-6.220723789760077e-8,-6.784192402116047e-8,0.9833943400416878,0.29659074655441486,0.0020145490293771557,0.0033023305794232425,0.001294310659367672,true,208,-1.6335090457380648,0.05,0.05,3.277902585,0.0
128,2.5,0.3,1.0,100.0,0.0,0.25355843421843305,0.37522279849155216,-7.040612686609604e-8,-7.554149768892783e-8,-4.940341007915944e-8,0.982250936574891,0.3080325401219053,0.0012814922800894327,0.00268426302327867,0.0006653656565645732,true,208,-1.6193835319444176,0.05,0.05,3.28244171,0.0
128,2.5,0.4,1.0,100.0,0.0,0.2582178961233219,0.3736308140921908,-5.736383230231512e-8,-8.094412592628359e-8,-3.209781521579e-8,0.9776644877239615,0.3187186401349962,0.000810885032986485,0.0021663509109513053,0.00034228256803913,true,208,-1.6053747418284336,0.05,0.05,3.277907084,0.0
128,2.5,0.5,1.0,100.0,0.0,0.26290237019154405,0.3719683568801322,-4.644617973559306e-8,-8.54103376585865e-8,-2.097855771646078e-8,0.9962317020278944,0.3369765360584642,0.0005432681044444268,0.0018368603261684534,0.00018841593352151412,true,207,-1.5914876175487644,0.05,0.05,3.264377925,0.0
128,2.5,0.6,1.0,100.0,0.0,0.2676299581734548,0.3702256644885459,-3.3867043357227455e-8,-8.121285761447183e-8,-1.2402314348588884e-8,0.9841467603538545,0.34588031874582814,0.00034109782275902677,0.0014623269314765297,9.749092281069654e-5,true,207,-1.5777271835309463,0.05,0.05,3.263957713,0.0
128,2.5,0.7,1.0,100.0,0.0,0.2723722342961342,0.3684099238594664,-2.5568256210167783e-8,-7.90219034672837e-8,-7.696138676417557e-9,0.9957020274501405,0.36289906657638316,0.00022784212688794207,0.0012256050326478066,5.433711497443428e-5,true,206,-1.5640984335840693,0.05,0.05,3.24784825,0.0
128,2.5,0.8,1.0,100.0,0.0,0.27714570101200575,0.36651160405364575,-1.7663761182895588e-8,-7.051147327217913e-8,-4.383250557745175e-9,0.9753340220655105,0.3691105879793932,0.00014204326649059303,0.0009618558752522877,2.83186416152638e-5,true,206,-1.5506064054614317,0.05,0.05,3.248134396,0.0
128,2.5,0.9,1.0,100.0,0.0,0.28192217132438135,0.3645388077632904,-1.2852291442905228e-8,-6.533340727414284e-8,-2.6688306758275698e-9,0.9790432809576588,0.3839590415177785,9.466104478686933e-5,0.0007964738113294621,1.599761679957443e-5,true,205,-1.5372560581847845,0.05,0.05,3.2327701,0.0
