L,U,V,t,β,δ,uS,ud,wS,wd,ws,QuS,Qud,QwS,Qwd,Qws,I,f,g,g0,ΔT,μ
30,5.0,1.2,1.0,100.0,0.1,0.7044399454383256,0.00023618323345038492,0.04819014133055364,0.0009163147286557343,0.10000000000000002,0.9326934060015946,0.14531302512547098,0.16008814484717304,0.5548904665121671,0.0,21,-1.9141962474007381,0.2,0.2,0.532491209,0.3070132175175573
30,5.0,1.4,1.0,100.0,0.1,0.6907783905140056,0.00035015465138249567,0.054393265061723116,0.0013816737486940106,0.10000000000000002,0.9857296849272945,0.18693830825666816,0.1486640253219762,0.732553450978115,0.0,20,-1.8818769965874234,0.2,0.2,0.504546838,0.2739110124946806
30,5.0,1.6,1.0,100.0,0.1,0.6748746349029571,0.0004824500545825922,0.06172157387034233,0.0019679237828151477,0.10000000000000002,0.9983762112812489,0.2341826668263826,0.09979098784845819,0.9471547276490273,0.0,19,-1.8464438748757732,0.2,0.2,0.491983653,0.24082026025778147
30,5.0,1.8,1.0,100.0,0.1,0.6562359775637524,0.0004659458867329362,0.07026573932078209,0.001988225625337673,0.10000000000000002,0.5157722481636595,0.21208183832650365,0.013375237913981763,0.896650258660704,0.0,20,-1.80696018723577,0.2,0.2,0.499614216,0.20724144031100164
30,5.0,2.0,1.0,100.0,0.1,0.6359858352522518,0.0005049110152194815,0.08015383463715889,0.0022925331888409687,0.10000000000000002,0.30698149961341237,0.21999441280014076,0.14318804578386524,0.9842253930411264,0.0,20,-1.7654840606628026,0.2,0.2,0.500324809,0.17425695825228468
30,5.5,1.0,1.0,100.0,0.1,0.7068040558465519,0.00010865161933753292,0.04386121418830144,0.0004341314028298316,0.10000000000000002,0.813686144849135,0.10002620693441912,0.14601990355833788,0.3703176868659337,0.0,22,-1.97478533179551,0.2,0.2,0.559509678,0.34935083886643536
30,5.5,1.2,1.0,100.0,0.1,0.6945695117685045,0.0001752104681716037,0.04861038000517364,0.0006877529482535742,0.10000000000000002,0.8832575500517859,0.12984398643914483,0.1632701341584497,0.4965515393300573,0.0,21,-1.945153918300134,0.2,0.2,0.541409128,0.31673403871700395
30,5.5,1.4,1.0,100.0,0.1,0.6803386663610005,0.00025633167837659675,0.0541475838457175,0.0010192348997782564,0.10000000000000002,0.9267716968461848,0.16537007509715376,0.16720647519738174,0.6505215202654133,0.0,20,-1.912799743164545,0.2,0.2,0.496971431,0.2842580747276711
30,5.5,1.6,1.0,100.0,0.1,0.6640664775678036,0.00034941232619918356,0.060490556646653815,0.0014312458079772234,0.10000000000000002,0.9354750355404784,0.20586631399412308,0.14973749902233296,0.8360265541078578,0.0,19,-1.8775677388983474,0.2,0.2,0.478875105,0.25206988274374076
30,5.5,1.8,1.0,100.0,0.1,0.6455918297028496,0.0003852834890465879,0.06758105056132206,0.0016434780579634809,0.10000000000000002,0.6625179698780848,0.21379115316500175,0.08563799844350517,0.9041692982264693,0.0,19,-1.8390953354073987,0.2,0.2,0.485276052,0.22009145053014573
30,5.5,2.0,1.0,100.0,0.1,0.6255577262727449,0.0004100321989241396,0.07542851830082421,0.0018427564776098376,0.10000000000000002,0.42108570656758104,0.2186658584438149,0.006933874961148612,0.9725979906503107,0.0,19,-1.7984242725567121,0.2,0.2,0.481657093,0.18885013621128802
30,6.0,1.0,1.0,100.0,0.1,0.6977634530233822,9.74936891444196e-5,0.044556912506687016,0.00041075756675925355,0.10000000000000002,0.9946141939184638,0.1116217790363688,0.17500460370506732,0.40798260176675477,0.0,21,-2.007239163789599,0.2,0.2,0.530123321,0.3587913935563248
30,6.0,1.2,1.0,100.0,0.1,0.6848448616413437,0.00013389864143891945,0.04888487396851851,0.0005337658969545068,0.10000000000000002,0.8381362224606947,0.1180286781219949,0.16676719904825665,0.4520327197272205,0.0,21,-1.977369415374453,0.2,0.2,0.531926635,0.32645423339655255
30,6.0,1.4,1.0,100.0,0.1,0.6701363713296119,0.00019446613657419872,0.05382478271894667,0.0007804855433727661,0.10000000000000002,0.8737864619686286,0.1490701282245384,0.18311370841479213,0.588545294853683,0.0,20,-1.9450782111522558,0.2,0.2,0.511591637,0.29461046134592467
30,6.0,1.6,1.0,100.0,0.1,0.6535722209799096,0.0002634886562439959,0.059326771103522136,0.0010846267608320959,0.10000000000000002,0.8790583331875768,0.18473113120179582,0.1896164224713101,0.7530293087398533,0.0,19,-1.9101376106560988,0.2,0.2,0.487249028,0.26329165428894047
30,6.0,1.8,1.0,100.0,0.1,0.6353516413764618,0.0003391382573721189,0.06531541187884718,0.0014491686119802645,0.10000000000000002,0.8531907261126959,0.22466223666272317,0.18332903133310152,0.9505164088945767,0.0,18,-1.8727709248482878,0.2,0.2,0.465519906,0.23273344158412806
30,6.0,2.0,1.0,100.0,0.1,0.6152139842952873,0.00030328347619365325,0.07159315739792872,0.0013506524158979516,0.10000000000000002,0.39912381640283545,0.19295468260881465,0.12231160702924904,0.8556556957491314,0.0,19,-1.8324847226917123,0.2,0.2,0.482349209,0.20279605428213415
